,Login,Namespace,Pontuação
1172,carolselingardi,villalobos,3.0035
1173,carolsilveira,colegiointegral,1.0032
1174,casdi155,casdinhosjc,3.5111000000000003
1175,casdi250,casdinhosjc,2.5036
1176,case.vasconcellos,adrianochan,1.0001
1177,cassia.marques.universitario,universitariolondrina,3.0404999999999998
1178,cassia.zenziski,acessosjpinhais,1.0132
1179,cassiaab37,isem,1.0131000000000001
1180,cassiane.penha,acessosjpinhais,3.0044000000000004
1181,cassiano.calluf,elitecuritiba,2.12
1182,cassiano.horst,elitecuritibaemilianoperneta,2.0073
1183,cassio.marcelo,colegiouniverso,1.0005
1184,cassioribeiro,colegioguilhermedealmeida,4.0042
1185,catequeseobj,objetivolorena,1.0004
1186,catianemonteiro,colegiointegral,2.5662000000000003
1187,caue.brasilia,colegiobrasilia,2.0329
1188,cbadriano,colegiocb,3.5549
1189,cbarci,colegiocb,3.6486
1190,cbbarbara,colegiocb,4.5296
1191,cbcaio,colegiocb,2.0088
1192,cbcamila,colegiocb,4.0009
1193,cbcarvalho,colegiocb,2.5181
1194,cbclaudinei,colegiocb,3.5312
1195,cbdaniel,colegiocb,3.5191
1196,cbedson,colegiocb,3.5694000000000004
1197,cbflavio,colegiocb,2.5302
1198,cbguilherme,colegiocb,3.0252
1199,cbjanaina,colegiocb,5.0004
1200,cbluciana,colegiocb,3.502
1201,cbluis,colegiocb,5.018799999999999
1202,cbmarcio,colegiocb,3.1627
1203,cbmarines,colegiocb,3.0085
1204,cbpatricia,colegiocb,1.5068
1205,cbpiccirillo,colegiocb,2.5011
1206,cbrener,eacorcovado,6.0242
1207,cbrito,colegiointegral,2.5328
1208,cbrogerio,colegiocb,3.5048999999999997
1209,cbrosana,colegiocb,3.008
1210,cbrubens,colegiocb,2.5092999999999996
1211,cbsandra,colegiocb,4.5115
1212,cbsilsan,colegiocb,4.0168
1213,cbsilvio,colegiocb,1.0125
1214,cbteixeira,colegiocb,4.0065
1215,cbthaline,colegiocb,1.5023
1216,cbvaldir,colegiocb,2.0069
1217,cecilia.jesus,institutoeurofarma,1.0035
1218,celiaerondina,colegiobilac,1.5092
1219,celiane.dalazuana,acessoalmirantetamandare,2.5098000000000003
1220,celso.junior,colegiosete,1.5015
1221,cesar.augusto,physicsalmirantebarroso,2.5004999999999997
1222,cesar.mnascimento,physicsumarizal,2.5018000000000002
1223,cesar.nascimento,physicsaugustomontenegro,1.0004
1224,cesar.visini,educarse,2.0022
1225,cesarloureiro10,faculdadeflamingo,3.5060000000000002
1226,cfg.anapaula,colegiofuturageracao,3.5404999999999998
1227,cfg.daniela,colegiofuturageracao,1.5199
1228,cfg.edson,colegiofuturageracao,2.5015
1229,cfg.heitor,colegiofuturageracao,2.5227
1230,cfg.jessica,colegiofuturageracao,2.5197
1231,cfg.mateus,colegiofuturageracao,3.5087
1232,cfg.mirela,colegiofuturageracao,2.508
1233,cfg.pedro,colegiofuturageracao,4.5163
1234,cfg.renata,colegiofuturageracao,3.5368999999999997
1235,cfg.sonia,colegiofuturageracao,2.5066
1236,cfg.tatiana,colegiofuturageracao,3.5147999999999997
1237,charlenecorreira,amadeus,3.5094000000000003
1238,charles.franca,stellamarisaguaverde,2.0095
1239,chirleysilva10,faculdadeflamingo,2.0187
1240,christiane.ribeiro,stellamarisjuveve,4.5372
1241,christopher.whitt.universitario,universitariolondrina,1.5004
1242,cibelee,colegiobrasilia,2.0012999999999996
1243,cicerojose,colegioguilhermedealmeida,3.5193000000000003
1244,cidia.corte,physicsmacapa,2.5063
1245,cinthia.dutra,mariliamattoso,3.5313000000000003
1246,cinthia.lima,integra,2.5049
1247,cintia.aparecida,acessosantafelicidade,2.5080999999999998
1248,cintia.ferreira,elitecuritibaemilianoperneta,2.5006
1249,cintia.lopes,acessoboqueirao,1.0241
1250,cintia.meri,acessosantafelicidade,2.5282999999999998
1251,cintia.regina,colegiojoaopaulo,3.0493
1252,cintiafranca,colegioecursodesafio,2.5131
1253,cintiapogoretti,villalobos,1.0952
1254,cintiatoledo,apogeustoantonio2,2.5008
1255,ciria.araujo,colegioeag,2.5129
1256,clara.rodrigues,mariliamattoso,1.5027
1257,clara.silvestre,overpontanegra,1.0068
1258,clarasc4,isem,4.0012
1259,clarianaro54,colegioiguatemy,3.5906000000000002
1260,clarindoedna,integradaeducativa,2.0046
1261,clarissad,conexaosaber,2.5086000000000004
1262,claudecir.ricardo,aescobjetivo,2.5025
1263,claudete.souza1,universobarcarena,2.0125
1264,claudia.gongora.universitario,universitariolondrina,2.0008
1265,claudia.morena,colegiojoaopaulo,2.018
1266,claudia.rafaella,colegiosete,4.0014
1267,claudia.regina,colegiojoaopaulo,3.5439
1268,claudia.schneider,colegiojoaopaulo,5.517499999999999
1269,claudia.toffano,mariliamattoso,3.5122
1270,claudia.zuchi,acessosjpinhais,4.5393
1271,claudiacastelucci,villalobos,2.0014
1272,claudiakids63,colegiointegral,3.0744
1273,claudiaraujo,amadeus,2.504
1274,claudiceia.melo,amadeus,1.5588
1275,claudine.freire,overmossoro,1.04
1276,claudio.figueiredo,physicsbatistacampos,2.5221999999999998
1277,claudio.rovel,elitecuritiba,2.0173
1278,claudio1974,spdacruz,1.0145
1279,clea.bernardo,colegiosete,4.0094
1280,cleber.monteiro1,universobarcarena,1.5037
1281,cleyton.cardoso,physicscidadenova,2.0008999999999997
1282,cleyton.pcardoso,physicsalmirantebarroso,2.0006
1283,cleyton.pena,physicsaugustomontenegro,2.0008
1284,clynton.souza,overmossoro,2.0075
1285,cmlrodrigues,eccos,2.0225999999999997
1286,cnslmarialira,cnslpb,1.5006
1287,colegiooficina,oficinadoestudante,1.0156
1288,colegiosantamaria,colegiosantamaria,6.0009
1289,colegiosaoluis,colegiosaoluis,1.5001
1290,consultor.sas,sasadapt,1.5001
1291,consultorsas,liessin,2.604
1292,coodenacaobarao,oficinadoestudante,2.0211
1293,coodenacaoef,oficinadoestudante,2.0187999999999997
1294,coord.aza01,cursosazambuja,2.0407
1295,coord.daniel,ceespacolivre,2.0218
1296,coord.educarse,educarse,3.0006
1297,coord.lorena,ceespacolivre,1.0216
1298,coord1.einstein,einsteinassis,2.6448
1299,coordenacaoem,oficinadoestudante,2.0031
1300,coordenacaopioxi1,pioxi,1.5061
1301,coordenacaopioxi2,pioxi,1.5034
1302,coordenacaopioxi3,pioxi,1.5019
1303,cosma.vasconcelos,physicsbatistacampos,3.5535
1304,cris.doni.brasilia,colegiobrasilia,2.0705
1305,crislaine.rocha,stellamarisjuveve,1.0025
1306,cristiande,apogeustoantonio2,1.0035
1307,cristiane.lourenco,colegiosete,2.5119
1308,cristiane19,spdacruz,4.5222
1309,cristianefranceschi,colegioecursoprogressao,4.0074
1310,cristianerorato,colegioguilhermedealmeida,3.0372000000000003
1311,cristiani.silva,cem,3.5024999999999995
1312,cristiano.berkenbroch,stellamarisjuveve,2.5032
1313,cristiano.borges,acessocampolargo,1.0986
1314,cristiano.magalhaes1,universobarcarena,2.5103999999999997
1315,cristiano.navegantes1,universobarcarena,3.0023
1316,cristiano.rupp,colegiojoaopaulo,2.0269000000000004
1317,cristina.aguiar,itamarati,1.0061
1318,cristina.barbosa,physicsaugustomontenegro,3.0119
1319,cristina2016,spdacruz,3.5042999999999997
1320,cristinabrites,colegioguilhermedealmeida,5.0436
1321,cristinagarone,spdacruz,3.5081999999999995
1322,cristofer.muller,acessoboqueirao,1.0271
1323,cursinho.caur,caur,1.5002
1324,cynara.professora,conexaosaber,3.5021
1325,dagmar.ribeiro,contemporaneolagoanova,1.0001
1326,dagoliveira,colegioeducallis,5.0008
1327,daianab26,pesenglish,1.0019
1328,daiane.pereira1,acessosantafelicidade,2.0725
1329,daiane.salema.universitario,universitariolondrina,1.001
1330,daiany.souza,acessoalmirantetamandare,3.513
1331,daienebetel,colegiobetelbrasileirosp,2.0162
1332,daisy.macedo,colegiouniverso,3.5066
1333,daisy.tedardi.universitario,universitariolondrina,3.5159
1334,dalton.rodrigues1,universobarcarena,2.5167
1335,damarescampos,amadeus,2.5124
1336,damg22,oficinadoestudante,2.5023
1337,dangois,isem,3.5056
1338,dani.mira,colegiobrasilia,3.696
1339,dani.pach,colegiobrasilia,4.0921
1340,daniel.amaral,itamarati,4.5168
1341,daniel.bastos,amadeus,1.0002
1342,daniel.carmo,colegiouniverso,3.5012
1343,daniel.carneiro.universitario,universitariolondrina,2.0065999999999997
1344,daniel.faria,stellamarisjuveve,3.0339
1345,daniel.felipe,elitecuritiba,1.0001
1346,daniel.fernando,aescobjetivo,2.5169
1347,daniel.gama,acessopinhais,1.0033
1348,daniel.lourenco,acessoalmirantetamandare,1.0035
1349,daniel.melo80,colegioeducallis,1.5002
1350,daniel.oshima,acessosjpinhais,2.0048
1351,daniel.s.faria,stellamarisxaxim,2.0007
1352,daniel.tadanori,acessocampolargo,1.0028
1353,daniela.barreto,itamarati,2.5103
1354,daniela.porath,acessoalmirantetamandare,2.0369
1355,daniela.santos,universobarcarena,1.0009
1356,daniela.tamires,amadeus,2.5006
1357,daniela.teza,stellamarisxaxim,4.0047
1358,danieladiab,villalobos,3.0095
1359,danielaescaleira,colegiobrasilia,3.6876999999999995
1360,danielagodoy,villalobos,2.0419
1361,danielbiancardi,colegioecursoprogressao,1.5062
1362,danielcamerino,camerinocursos,2.5002
1363,daniele.pupin,itamarati,2.0983
1364,daniele.silva,colegioeag,2.6206
1365,daniele.witt,stellamarisjuveve,2.075
1366,danielebatistash,conexaosaber,2.0064
1367,danielesf36,colegioeducallis,1.5001
1368,danieli.ferreira,profederal,2.0220000000000002
1369,daniella.oliveira,physicsmacapa,2.5006
1370,danielle.aliberte,colegioensitec,2.0032
1371,danielle.desouza,physicsaugustomontenegro,1.2375
1372,danielle.saraiva,physicscidadenova,2.5094
1373,danielle.sarmento,physicsalmirantebarroso,2.5465
1374,daniellefontes,amadeus,6.0039
1375,daniellemdc,colegioguilhermedealmeida,3.5431999999999997
1376,daniellepalmeira,colegiodasamericas,1.0236
1377,danielly.dorada,acessocampolargokids,2.533
1378,danielrplacido,colegioguilhermedealmeida,3.505
1379,danielsilva1,colegiointegral,2.5026
1380,danilli.sabrina,physicsalmirantebarroso,3.5613
1381,danilo.alcindo,physicsalcindocacela,1.0039
1382,danilo.candela,casdvest,2.5003
1383,danilo.lopes.universitario,universitariolondrina,2.0068
1384,danilo.pedreira,physicsconselheirofurtado,1.0023
1385,danilo.pereira1,physicsalmirantebarroso,1.0007
1386,danilocavalcante,colegioguilhermedealmeida,3.5038
1387,daniloo.pedreira,cursoenfase,1.0009
1388,dannibenete,villalobos,1.5055
1389,danusiasouza,colegiointegral,1.0917
1390,danycyn,amadeus,3.0182
1391,darival.cunha,physicsalmirantebarroso,1.0001
1392,dartcssl41,colegiointegral,2.5433
1393,davi.aluotto,macvest,2.5014
1394,davi.desouza,educarse,3.5026
1395,david.neto,adrianochan,4.5239
1396,davison.cesar,physicsalmirantebarroso,2.5017
1397,dayanedias,colegiointegral,1.196
1398,dayanemillan,colegiobrasilia,3.6447000000000003
1399,dayllem.aparecida,acessosantafelicidade,5.0258
1400,daysepeixoto,amadeus,1.5247
1401,dbarreto,colegiointegral,1.0002
1402,dcampos,psantagema,2.0063000000000004
1403,dcavalcanti,colegiointegral,2.5015
1404,debersonalmeida10,faculdadeflamingo,4.0249
1405,debersonferreira,colegiodasamericas,2.5011
1406,debora.patricia,physicsalmirantebarroso,2.5008
1407,debora.patricia.santos,physicsaugustomontenegro,1.501
1408,debora.pompilio,provaspoliedro,1.0006
1409,debora.ramos,sas,2.5372
1410,debora.regina,stellamarisjuveve,1.0003
1411,debora.santos,amadeus,3.5092
1412,deborahellen,colegiodasamericas,5.5937
1413,deborareginamagalhaesdiniz,alpha,3.5229
1414,decio.mazur,acessoalmirantetamandare,2.0317999999999996
1415,decio.souza,colegioeag,1.0004
1416,deise.lopes,itamarati,1.0032
1417,deise.suzumura.universitario,universitariolondrina,2.5317
1418,dejesus,colegiointegral,3.5459
1419,delinha,colegioecursodesafio,2.508
1420,delta.lucio,deltaeducacional,1.5005
1421,deltajose.alberto,deltaeducacional,1.5001
1422,deltakayo.marcos,deltaeducacional,1.5001
1423,deltamatheus.rodrigues,deltaeducacional,1.5002
1424,deltavalter.paulo,deltaeducacional,1.5003
1425,deltawillian.santos,deltaeducacional,1.5003
1426,delton.savi,acessopinhais,2.0258000000000003
1427,demetrio.junior.universitario,universitariolondrina,2.0277000000000003
1428,denilsonsantos,amadeus,6.0009
1429,denis.morasi,aescobjetivo,1.5078
1430,denise.almeida,elitecuritiba,2.0518
1431,denise.barros.universitario,universitariolondrina,3.5385
1432,denise.freitas,elitecuritibaemilianoperneta,2.0031
1433,denise.gama,stellamarisxaxim,2.0196
1434,denise.laitano,colegiojoaopaulo,2.5387
1435,denise.vieira,physicsalmirantebarroso,1.5025
1436,denisehck48,maplebearslz,1.5001
1437,denisesales,gamt,3.5262
1438,denisson,amadeus,2.501
1439,derick.carvalho,colegiouniverso,1.0005
1440,devalcir.antonio,aescobjetivo,3.5203
1441,deysemiranda14,colegiointegral,3.5235
1442,deywison,amadeus,5.0100999999999996
1443,diana.cruz,physicsbatistacampos,1.5049
1444,dianaportinari,portinari,3.5121
1445,diego.angelos,colegiojoaopaulo,3.5156
1446,diego.araujo,colegiobrasilia,2.6446
1447,diego.brito,mastersolucoes,3.001
1448,diego.filipe,overpontanegra,1.0033
1449,diego.godoy,acessohauer,1.0526
1450,diego.jeronymo,colegiobrasilia,2.5338000000000003
1451,diego.lima,acessoalmirantetamandare,1.0049
1452,diego.menezes,overnascimentodecastro,3.0136000000000003
1453,diego.pianovski.universitario,universitariolondrina,2.0364
1454,diego.pires,aescobjetivo,4.5442
1455,diego.raymundo,cem,3.5082
1456,diego.santos,colegiopremium,2.5035
1457,diegogarcia08,alpha,2.5063000000000004
1458,diegors,integradaeducativa,2.0155000000000003
1459,digitalsas,sas,3.5115
1460,dimitrius,villalobos,2.0405
1461,dinoeliasouza10,faculdadeflamingo,2.0116
1462,diogo.leite,physicscidadenova,2.5084
1463,diogo.longo,casdvest,1.0003
1464,diogosfreitas,colegioecursodesafio,1.0001
1465,diogosouza,colegiosete,1.51
1466,dione.siegel,stellamarisaguaverde,1.0092
1467,dirceujunior10,faculdadeflamingo,5.014799999999999
1468,direcao.anaflavia,overjoaopessoa,1.0146
1469,direcaotaquaral,oficinadoestudante,1.017
1470,dmello,eacorcovado,2.5025
1471,dmitri.2021,colegioecursodesafio,2.0029
1472,dominick.farias,overjoaopessoa,4.5042
1473,duanny.menezes,amadeus,2.5354
1474,duilio.fonsec,master,1.5005
1475,dulcineia.kempner,acessocampolargo,2.0728
1476,ea.simulados,cursoisfera,1.0175
1477,eacalbakoschorke,eacorcovado,2.5031
1478,eacalexandrecoelho,eacorcovado,2.5707
1479,eacanacastro,eacorcovado,2.5384
1480,eacanagarcia,eacorcovado,1.5118
1481,eacandreapereira,eacorcovado,1.0093
1482,eacandrebasseres,eacorcovado,3.512
1483,eacandreklevenhusen,eacorcovado,3.5164999999999997
1484,eacarmandotramontano,eacorcovado,2.5300000000000002
1485,eacbarbaralau,eacorcovado,3.0088
1486,eaccarinacampagnani,eacorcovado,3.0054
1487,eaccarinadiniz,eacorcovado,2.0732
1488,eaccarloslima,eacorcovado,3.5176999999999996
1489,eaccarlossilva,eacorcovado,2.5308
1490,eacchristinealt,eacorcovado,2.5111
1491,eacdeborabraga,eacorcovado,2.016
1492,eacdeboralinhares,eacorcovado,2.5674
1493,eacdeisehoffmann,eacorcovado,2.5041
1494,eacdenisemachado,eacorcovado,3.5170000000000003
1495,eaceduardojunior,eacorcovado,5.026
1496,eacetheldriesen,eacorcovado,1.0559
1497,eacfabiomercon,eacorcovado,2.5169
1498,eacfranciscosilva,eacorcovado,4.5297
1499,each.isadora,brasilcursinhos,1.5001
1500,each.maringolocatia,brasilcursinhos,1.0001
1501,each.pedagogica,brasilcursinhos,1.5001
1502,eachellendutra,eacorcovado,2.5288
1503,eacisabelabustamante,eacorcovado,1.5161
1504,eacivanmillarch,eacorcovado,1.0328
1505,eacjanainasilva,eacorcovado,2.5633
1506,eacjoanamoraes,eacorcovado,1.0125
1507,eacjoaochaves,eacorcovado,2.5059
1508,eacjohannbecker,eacorcovado,2.5194
1509,eacjosejunior,eacorcovado,3.5489
1510,eacjuliacarvalho,eacorcovado,2.5225
1511,eackatiamamede,eacorcovado,3.5023999999999997
1512,eacluisaalves,eacorcovado,3.528
1513,eacluizamattos,eacorcovado,2.5136
1514,eacmarcelolopes,eacorcovado,3.5614999999999997
1515,eacmarcelomorais,eacorcovado,2.5163
1516,eacmiriammelamed,eacorcovado,2.5056000000000003
1517,eacoliverfischer,eacorcovado,1.0032
1518,eacpatriciawerner,eacorcovado,3.519
1519,eacpaulojunior,eacorcovado,1.0261
1520,eacrobsonconceicao,eacorcovado,2.5132000000000003
1521,eacsergioduque,eacorcovado,1.0379
1522,eactaniajunqueira,eacorcovado,2.5054
1523,eacthaislima,eacorcovado,3.5093
1524,eacverenaalberti,eacorcovado,4.5512999999999995
1525,eacwagnersilva,eacorcovado,4.0211
1526,eag.gilberto.osantos,colegioeag,2.5193000000000003
1527,eag.ivan.psantos,colegioeag,3.532
1528,eag.jaqueline.santos,colegioeag,2.5774
1529,eag.jose.sterki,colegioeag,3.1419999999999995
1530,eag.liacristinovieira,colegioeag,3.5729999999999995
1531,eag.luiz.silva,colegioeag,4.526999999999999
1532,eag.vanessa.sugihara,colegioeag,4.672599999999999
1533,eag.wagnermcunha,colegioeag,3.6479
1534,eag.yacov.rodrigues,colegioeag,2.585
1535,eberton.lopes,profederal,4.532400000000001
1536,ecaldeira,colegiointegral,1.0419
1537,eder.brilhante,colegiopremium,1.0002
1538,eder.miotto,elitecuritiba,2.0416
1539,eder.oliveira,cursoenfase,1.0018
1540,eder.souto,physicsmacapa,1.5015
1541,ederson.costa1,universobarcarena,2.0113000000000003
1542,ederson.santos,colegiopremium,3.0075
1543,edersondonizeti,villalobos,3.5037000000000003
1544,edgardutra,apogeu,1.5003
1545,edilaine.rizzuto.universitario,universitariolondrina,3.5299000000000005
1546,edileuzaquim,oficinadoestudante,1.0011
1547,edilfilho10,faculdadeflamingo,3.5218
1548,edilson.ferreira,physicsconselheirofurtado,2.0008
1549,edilton.jose,stellamarisjuveve,2.5576
1550,edilton.niewiadomski,acessosjpinhais,2.5122999999999998
1551,edinaldo.andrade1,universobarcarena,2.5027999999999997
1552,edineide.silva,amadeus,3.5056999999999996
1553,edivander.pinheiro,physicsmacapa,3.0008
1554,edla.cruz,colegiosete,1.5031
1555,edmar.brustolin,acessocampolargo,1.0083
1556,edmar.ferreira,casdvest,2.0083
1557,edmara.zamberlan.universitario,universitariolondrina,3.0157
1558,edmilson.leite.universitario,universitariolondrina,1.0757
1559,edmilsons35,villalobos,1.0164
1560,edna.menezes,stellamarisaguaverde,2.5425
1561,ednangomes,primeirodemaio,1.0001
1562,edneia.pinho.universitario,universitariolondrina,3.5163
1563,ednete.maria,litteratus,3.5018999999999996
1564,ednilsonsantos10,faculdadeflamingo,4.5038
1565,edson.geremias,acessoalmirantetamandare,3.0055
1566,edson.lopes,institutoeurofarma,4.505
1567,edson.oliveira,profederal,2.52
1568,edson.silva,cem,3.5625000000000004
1569,edton.silva,master,1.5004
1570,edu.ana.claudia.jp,joaobelem,3.0075000000000003
1571,edu.ana.lucia,pauloviana,2.5003
1572,edu.ana.lucia.martins,marianair,2.5521000000000003
1573,edu.ana.ravenna.jp,joaobelem,2.5075
1574,edu.andre.araujo.ca,conradochaves,3.5208
1575,edu.antonio.genesio.jp,joaobelem,2.0031
1576,edu.claudia.maria.pinheiro,marianair,3.5303000000000004
1577,edu.clerton.farias.jp,joaobelem,2.0049
1578,edu.cleudia.ferreira,marianair,1.0002
1579,edu.dejane.tome.ca,conradochaves,2.5359
1580,edu.edijane.maria.da,arlindocavalcanti,1.0001
1581,edu.ednalva.estevao,josemelo,1.0001
1582,edu.elbaneide.bezerra,josemelo,1.0001
1583,edu.eliane.de.fp,franciscoperes,2.5208000000000004
1584,edu.eva.josefa.dos,saosebastiao,1.5001
1585,edu.fernanda.karine,pauloviana,1.0003
1586,edu.fernanda.paula,josemelo,1.0001
1587,edu.francisca.erivanda.ca,conradochaves,2.5048000000000004
1588,edu.francisca.ferreira.ca,conradochaves,3.5011
1589,edu.geisa.maria.falcao,arlindocavalcanti,1.0001
1590,edu.gleicijane.nogueira,raimundoalves,2.0003
1591,edu.hipolyana.simone,josemelo,2.0002
1592,edu.iris.gomes,josemelo,1.0004
1593,edu.ivaneide.fernandes.jp,joaobelem,1.5034
1594,edu.jane.kely.jp,joaobelem,4.507099999999999
1595,edu.jose.cairo,mocinhagomes,3.0016999999999996
1596,edu.jose.gibson.da,barraazul,1.0002
1597,edu.jose.wilson.ferreira,josemelo,1.0003
1598,edu.lucia.maria.silva,josemariano,1.5001
1599,edu.luciano.filho,abiliomartins,0.0
1600,edu.luciano.silva,educamais,4.0108999999999995
1601,edu.luisa.helena.jp,joaobelem,2.5029000000000003
1602,edu.manoel.ferreira,pauloviana,2.0023
1603,edu.marcia.trajano,barraazul,2.5002
1604,edu.maria.aparecida.jp,joaobelem,2.0014
1605,edu.maria.conceicao.da,arlindocavalcanti,1.0001
1606,edu.maria.das.ca,conradochaves,1.0003
1607,edu.maria.edina.ca,conradochaves,2.0034
1608,edu.maria.eudalia.jp,joaobelem,1.0002
1609,edu.maria.francisca.batista,marianair,1.0035
1610,edu.maria.gorete.de,marianair,3.5198
1611,edu.maria.ivanete.bezerra,marianair,2.0027
1612,edu.maria.ivanilde.jp,joaobelem,1.0003
1613,edu.maria.izabel.ferreira,marianair,1.0007
1614,edu.maria.jose.dos,josemelo,1.0001
1615,edu.maria.jose.farias,josemelo,1.0001
1616,edu.maria.josiane.da,josemelo,1.0001
1617,edu.maria.osivania.de,barraazul,4.5013
1618,edu.maria.rodrigues.de,marianair,2.0003
1619,edu.maria.sheila.jp,joaobelem,2.5012999999999996
1620,edu.maria.sousaaguiar,raimundoalves,1.0002
1621,edu.maria.vasconcelos,manoelmarcelino,2.5003
1622,edu.maria.zeneide.paiva,marianair,1.001
1623,edu.maria.zulene.moreira,marianair,1.0028
1624,edu.paula.anizia,barraazul,3.5004
1625,edu.quiteria.alves,pauloviana,1.0001
1626,edu.raimunda.farias.jp,joaobelem,2.0008
1627,edu.rejane.rodrigues,pauloviana,3.0004
1628,edu.rita.de.ca,conradochaves,2.5092999999999996
1629,edu.roselene.rodrigues.jp,joaobelem,1.0006
1630,edu.samara.belem.jp,joaobelem,2.0008999999999997
1631,edu.severino.acacio,josemelo,1.0001
1632,edu.taynah.sarmento.jp,joaobelem,2.0037000000000003
1633,edu.valdilene,josemelo,3.0003
1634,eduadm.ana.lima,albertocabral,2.5003
1635,eduadm.eliane.cristina,tialo,1.0001
1636,eduadm.everaldo.viana,josemelo,1.0001
1637,eduadm.jassiane.alves,arturtavares,3.5006
1638,eduadm.joene.maria,saosebastiao,1.5001
1639,eduadm.luciana.maria,benjamitacardona,4.0004
1640,eduadm.maria.jessica,bernardosayao,1.5001
1641,eduadm.maria.jose,marialeao,3.5007
1642,eduadm.maria.silvana,josemelo,1.0001
1643,eduadm.marta.maria,bernardosayao,2.0002
1644,eduadm.monica.fonseca,arturtavares,3.5007
1645,eduadm.rivania.ventura,pauloviana,1.0001
1646,eduadm.roseane.maria,benjamitacardona,1.0001
1647,eduadm.vania.karla,arlindocavalcanti,1.0001
1648,eduarda20,brasilcursinhos,2.5084999999999997
1649,eduardaduarte,colegiointegral,2.0069999999999997
1650,eduardo.brito,acessoboqueirao,1.0117
1651,eduardo.coelho,mariliamattoso,4.5261000000000005
1652,eduardo.favaro.universitario,universitariolondrina,3.5051
1653,eduardo.filho,colegioflamingo,4.5052
1654,eduardo.sabrito,elitecuritibaemilianoperneta,2.5347999999999997
1655,eduardo.santos,objetivolorena,1.0042
1656,eduardo.sigwalt,elitecuritiba,1.0752
1657,eduardo.sociais,casdvest,2.0015
1658,eduardo.souza,elitecuritibaemilianoperneta,2.1997999999999998
1659,eduardo.stelle,acessocampolargo,2.0042999999999997
1660,eduardo.stelle1,elitecuritibaemilianoperneta,5.011299999999999
1661,eduardoalvesrodrigues,litteratus,3.0004
1662,eduardobertuzzi,villalobos,2.5061999999999998
1663,eduardoc4,brasilcursinhos,4.5009999999999994
1664,eduardoluis,amadeus,2.5089
1665,eduardoluis2,colegiointegral,4.5485
1666,eduardomoreirasouza,villalobos,3.0174000000000003
1667,eduardosn95,brasilcursinhos,2.5119
1668,eduardosouzaprof,colegioecursoprogressao,2.5073
1669,eduardotimbo,conexaosaber,2.508
1670,educ.moliveira,psantagema,2.5042
1671,educadorafisicamariana,alpha,3.5248
1672,educardocosta,villalobos,3.5186
1673,educoor.ana.glayson,moaciralves,2.0008999999999997
1674,educoor.ana.vieira,joaosampaio,1.0009
1675,educoor.francisca.marques,antoniomelo,1.5001
1676,educoor.luciana.farias,iracemarufino,2.0008999999999997
1677,educoor.maria.sueli,antoniolima,2.5019
1678,educoor.rosineide.martins,mariaeunice,1.5003
1679,educoor.silvia.helena,marialaura,1.5001
1680,eduprof.acacio.arnaldo.am,abdiasmartins,3.0105999999999997
1681,eduprof.adriana.silva.nsf,nsfatima,1.0002
1682,eduprof.aline.cristina,manoelbatista,2.0003
1683,eduprof.ana.alice.mg,monsenhorgoncalo,3.5028999999999995
1684,eduprof.ana.alice.ms,marialaura,2.0035999999999996
1685,eduprof.ana.alice.nsf,nsfatima,3.0038
1686,eduprof.ana.alves.js,joaosampaio,1.0001
1687,eduprof.ana.carla.maria,josesoares,3.5006000000000004
1688,eduprof.ana.celia.am,abiliomartins,2.001
1689,eduprof.ana.celia.gf,guilhermefilho,2.0014000000000003
1690,eduprof.ana.celia.gs,goncalomartins,2.0006
1691,eduprof.ana.celia.mg,monsenhorgoncalo,1.0043
1692,eduprof.ana.claudia.ai,antoniairene,2.5015
1693,eduprof.ana.claudia.al,antoniolima,2.5290999999999997
1694,eduprof.ana.claudia.am,abdiasmartins,1.0001
1695,eduprof.ana.claudia.mg,monsenhorgoncalo,1.0015
1696,eduprof.ana.clemente.ms,marialaura,1.0039
1697,eduprof.ana.dasilva,marialeao,2.5004999999999997
1698,eduprof.ana.elizabeth.mr,murilorocha,2.0002
1699,eduprof.ana.florencia.ao,antoniomelo,3.0004999999999997
1700,eduprof.ana.helena.nsf,nsfatima,2.5008999999999997
1701,eduprof.ana.karla,hamiltondarocha,2.5082000000000004
1702,eduprof.ana.karla.nsf,nsfatima,3.5035999999999996
1703,eduprof.ana.lindalva.ir,iracemarufino,1.0073
1704,eduprof.ana.lucia.me,mariaeunice,2.5423999999999998
1705,eduprof.ana.lucia.mf,monsenhorfrancisco,1.0002
1706,eduprof.ana.lucia.ms,marialaura,2.5004999999999997
1707,eduprof.ana.maria.am,abdiasmartins,2.0014000000000003
1708,eduprof.ana.maria.ep,eldapereira,2.5014
1709,eduprof.ana.maria.mr,murilorocha,3.5068
1710,eduprof.ana.marta.mo,mariaolinda,1.0018
1711,eduprof.ana.martins.ms,marialaura,2.0042
1712,eduprof.ana.odete.me,mariaeunice,2.5002
1713,eduprof.ana.odete.ms,marialaura,2.5012
1714,eduprof.ana.paula.mg,monsenhorgoncalo,2.0004
1715,eduprof.ana.paula.mr,murilorocha,5.5146
1716,eduprof.ana.paula.vc,valdemiracoelho,2.0004
1717,eduprof.ana.peres.mg,monsenhorgoncalo,2.5026
1718,eduprof.ana.ravena.sb,senhorbonfim,2.5065999999999997
1719,eduprof.ana.timbo.ms,marialaura,2.5018000000000002
1720,eduprof.andreia.marques.mo,mariaolinda,2.5004
1721,eduprof.andreza.cristina.vc,valdemiracoelho,2.501
