,Login,Namespace,Pontuação
125,Cindy.hage,physicsumarizal,1.0001
126,Claudiomoreira,amadeus,2.5027999999999997
127,Cleverson.goulart,educarse,3.5012999999999996
128,Cristianebarbalho,colegioecursoprogressao,1.0002
129,Cristiano.Micussi,overzonanorte,3.5202999999999998
130,DAILTON.FREITAS,overmossoro,2.007
131,DANIEL.LUCAS.ABEL,overabelcabral,3.5119000000000002
132,DANIEL.LUCAS.PN,overpontanegra,3.5171
133,DANIEL.SILVA,overmarciliofurtado,3.5092000000000003
134,DANIEL.SILVA.ABEL,overabelcabral,2.0077
135,DANIEL.SILVA.PN,overpontanegra,2.0205
136,DANNIELLE,overjoaopessoa,2.0004999999999997
137,DANNIELLE.SALES.MC,overmarciliofurtado,1.0041
138,DEBORA.PAULA.SANTOS,universitariolondrina,2.5473
139,DEBORA.VIRGINIA.ABEL,overabelcabral,3.519
140,DEBORA.VIRGINIA.PN,overpontanegra,3.5142
141,DENISE.ANDREZA.PN,overpontanegra,2.0205
142,DIEGO,amadeus,4.0089
143,DIEGO.LEITAO,overmossoro,1.0042
144,DINARTE.GUIMARAES.ABEL,overabelcabral,2.0021
145,DTO,eccos,4.0345
146,Daniel.Lucas,overzonanorte,2.003
147,Daniel.Silva,overzonanorte,2.0317999999999996
148,DanieleVaranda,colegioecursoprogressao,4.0145
149,Danielivilela,alpha,3.5643000000000002
150,Daniellamassarenti,alpha,3.5111
151,Dannielle.Sales,overzonanorte,1.0077
152,Dayannealves,colegioecursodesafio,3.5040999999999993
153,Diego.Menezes,overzonanorte,2.008
154,Dinarte,overmarciliofurtado,2.0022
155,Dirlenedousseau,alpha,3.5241
156,Diugo.Pimenta,overzonanorte,2.5006
157,Douglas.Coelho.AB,overabelcabral,3.5003
158,EDLA.AUXILIAR,overjoaopessoa,1.0126
159,EDSON.LOSANO,overnascimentodecastro,2.0043
160,EDSON.MICHAEL.PN,overpontanegra,1.0017
161,EDVANIA.RIBEIRO.ABEL,overabelcabral,3.5534
162,ELISANGELA.DELFINO,overmarciliofurtado,2.0094000000000003
163,ELISANGELA.DELFINO.ABEL,overabelcabral,3.5126
164,ELISANGELA.DELFINO.PN,overpontanegra,2.0124000000000004
165,ELISANGELA.LIMA,overlimaesilva,1.0207
166,ELIZABETE.GOMES.PN,overpontanegra,2.0336
167,ELIZABETH.SENA,overlimaesilva,2.0145
168,EMANUELEDUARTE,colegioecursoprogressao,1.0304
169,EMERSON.AZEVEDO.MC,overmarciliofurtado,2.0042
170,EMERSON.DE.ABEL,overabelcabral,3.0039
171,Edson.Losano.zn,overzonanorte,2.009
172,Eduardo.brandi,integra,2.5314
173,EducadoraGiselle,spdacruz,3.5552
174,Elainne.Suzane,overpontanegra,3.5484999999999998
175,Elisandra.monteiro,physicsalmirantebarroso,2.0114
176,Elisangela.Maria,overmarciliofurtado,1.8839000000000001
177,Elisangela.ZN,overzonanorte,1.0081
178,EltonLobo,colegiobilac,2.5023
179,Eltonmartins,alpha,2.0018000000000002
180,Elvis.airosa,physicscidadenova,3.5036999999999994
181,EnaideSantana,colegioecursodesafio,2.5085
182,EricsonVO,integradaeducativa,3.0130999999999997
183,Erivan,colegiobrasilia,2.5095
184,Ester.Anjos,faculdadeflamingo,1.0004
185,Evernton.lucas,physicsaugustomontenegro,1.0003
186,FININHO.ABEL,overabelcabral,2.0427999999999997
187,FLAVIANA.SANTOS.PN,overpontanegra,3.5165
188,FRANCISCA.ARINUZA.ABEL,overabelcabral,1.5004
189,FRANCISCA.ARINUZA.PN,overpontanegra,2.5023
190,FRANCISCO.JAILSON.ABEL,overabelcabral,1.0009
191,FRANCISCO.JAILSON.PN,overpontanegra,1.0005
192,FRANCISCO.NOBRE,overnascimentodecastro,1.014
193,FRANCISCO.NOBRE.MC,overmarciliofurtado,1.0002
194,FRANCISCO.WASHINGTON.PN,overpontanegra,1.018
195,Fabianomeneses,colegiobilac,1.5052
196,Fabiany.Catunda,colegiopremium,2.5029000000000003
197,Fabioguerra,colegioecursoprogressao,3.5096
198,FabricioRocha,colegioecursoprogressao,3.0069999999999997
199,Farofa,casdinhosjc,1.003
200,Felipe.alves,physicsaugustomontenegro,1.0007
201,FelipeMGomes,alpha,3.5021999999999998
202,Fernanda.farias,overzonanorte,1.0001
203,Fernandacarla,colegioecursodesafio,2.5076
204,Flaviaakiko,alpha,4.514
205,Flaviamartins,eccos,3.0213
206,Flexao,casdinhosjc,1.0002
207,Fred,casdinhosjc,1.0028
208,GILLZICLEY.LIMA,overnascimentodecastro,1.0116
209,GILLZICLEY.LIMA.MC,overmarciliofurtado,2.001
210,GILLZICLEY.SILVA.ABEL,overabelcabral,2.0011
211,GIRLENIA.COORD,overabelcabral,2.0016
212,Gabriel.matos,integra,2.5061999999999998
213,GabrielDelgado,alpha,3.5169
214,GabrielGarcia,casdinhosjc,2.5018000000000002
215,GiselePampanini,alpha,5.0085
216,Glauber,colegiobilac,1.5035
217,Gracileia.Moraes,adrianochan,1.0001
218,Grillo,casdinhosjc,2.0033
219,Gui20102006,colegiosete,3.5088
220,Gustavo.bicho,physicscidadenova,1.0001
221,HEVERTON.DA.ABEL,overabelcabral,3.5156
222,Hannara,colegiobilac,3.5395999999999996
223,Helanesouza,alpha,6.0481
224,HelenaFonseca,casdinhosjc,2.5034
225,Hellem.Gercina,overzonanorte,2.0122
226,HenryQMagico,eccos,3.5142999999999995
227,Hicaro.galante,cursoenfase,1.0001
228,Hidrogel,faculdadeflamingo,2.0037000000000003
229,Homer,casdinhosjc,1.0425
230,IARA.COCENTINO.MC,overmarciliofurtado,3.0098000000000003
231,IARA.SILVIA.ABEL,overabelcabral,3.0092
232,IARA.SILVIA.PN,overpontanegra,3.0092000000000003
233,Igor.Oliveira,overzonanorte,2.0042999999999997
234,Igor512,invictus,1.0075
235,IngridOliveira,casdinhosjc,2.502
236,Intensivo,sas,2.001
237,Irisdione,amadeus,3.0003
238,Isaque.Bezerra,overzonanorte,3.5258000000000003
239,Italo.Habilis,souhabilis,1.5001
240,IzabelleSelim,casdinhosjc,2.0031999999999996
241,JANDSON.RAFAEL.ABEL,overabelcabral,2.5021
242,JANDSON.RAFAEL.PN,overpontanegra,2.5038
243,JANDSON.SILVA.MC,overmarciliofurtado,2.5029000000000003
244,JAQUELINE.COORD,overpontanegra,2.0522
245,JEFERSON.NOGUEIRA,overnascimentodecastro,1.0143
246,JEFERSON.NOGUEIRA.JP,overjoaopessoa,1.0065
247,JEFERSON.NOGUEIRA.MC,overmarciliofurtado,1.0005
248,JESSE.ARRAIS.MC,overmarciliofurtado,2.0039
249,JESSE.FABIANO.ABEL,overabelcabral,1.0049
250,JESSE.FABIANO.PN,overpontanegra,1.0034
251,JHONATAN.CRUZ,overlimaesilva,1.0355
252,JOAO.LUCAS.ABEL,overabelcabral,2.0086
253,JOAO.LUCAS.PN,overpontanegra,2.0053
254,JOAO.MARCELO.ABEL,overabelcabral,2.5033000000000003
255,JOAO.MARCELO.PN,overpontanegra,3.5035999999999996
256,JOAO.PAULO.PN,overpontanegra,1.0632
257,JOAO.SALES.MC,overmarciliofurtado,3.502
258,JORGE.NEGRI,overnascimentodecastro,1.0001
259,JOSE.SOARES.ABEL,overabelcabral,1.0006
260,JOSILAN.NUNES.ABEL,overabelcabral,2.5106
261,JOSILAN.NUNES.PN,overpontanegra,2.5027999999999997
262,JOSSINEIA,colegiobilac,1.5035
263,JUCINEIDE.DE.ABEL,overabelcabral,3.5444000000000004
264,JUSSILENO.SOUZA.ABEL,overabelcabral,2.0122
265,Jadson.Carvalho,overzonanorte,2.5217
266,Jamile.brito,physicsbatistacampos,4.0142
267,Jdhenef.cruz,colegiopremium,1.0016
268,Jefferson.franca,physicsalcindocacela,1.0312
269,Jessica.Leao,overzonanorte,1.0116
270,JessicaDeBiasi,alpha,1.0013
271,Jheny,casdinhosjc,3.5034
272,Jhonatan.Cruz,overzonanorte,1.003
273,Joao.Lucas,overzonanorte,3.0107
274,JocarlaGomes,colegiodasamericas,3.5295000000000005
275,Jorge.Luis,overzonanorte,2.0155000000000003
276,JorgeACesar,alpha,2.5056000000000003
277,Josemeire.Silva,overlimaesilva,2.5282999999999998
278,Josemoraes,alpha,1.0223
279,Josineide.Silva,overpontanegra,1.5486
280,Joyceazevedo,alpha,3.5538000000000003
281,Juliana.Braga,overlimaesilva,2.0079000000000002
282,JulianaMangussi,casdinhosjc,1.0001
283,Julianny,integradaeducativa,3.5164
284,KARLA.DANIELLE.ABEL,overabelcabral,4.5137
285,KATIA.JANAINA.ABEL,overabelcabral,3.5435
286,KESIA.LIMA.PN,overabelcabral,2.0530999999999997
287,KLEYTON.DE.ABEL,overabelcabral,2.0164
288,KLEYTON.DE.PN,overpontanegra,3.0060000000000002
