,namespace,segmento,Média de exercícios realizados
162,jardimsaopaulo,fundamental_dois,123.09
163,joaorosa,fundamental_dois,2.06
164,josepinheiro,fundamental_dois,73.48
165,josesoares,fundmental_um,1.0
166,liessin,fundamental_dois,139.98
167,liessinbarra,fundamental_dois,184.38
168,litteratus,em,99.07
169,litteratus,fundmental_um,37.28
170,mariliamattoso,em,1755.76
171,mariliamattoso,fundamental_dois,549.73
172,mariliamattoso,fundmental_um,174.88
173,master,fundamental_dois,855.68
174,moaciralves,fundamental_dois,27.39
175,mocinhagomes,fundamental_dois,17.0
176,motiva,em,24.0
177,motiva,fundamental_dois,34.09
178,navegasas,em,7.33
179,novotempo,fundmental_um,4.0
180,nucleocriativo,em,188.0
181,nucleocriativo,fundamental_dois,233.45
182,nucleocriativo,fundmental_um,196.32
183,objetivolorena,em,1093.29
184,objetivolorena,fundamental_dois,583.54
185,objetivolorena,fundmental_um,227.79
186,objetivoteresina,fundamental_dois,33.09
187,oficinadoestudante,em,560.58
188,oficinadoestudante,fundamental_dois,298.62
189,oficinadoestudante,fundmental_um,262.68
190,overabelcabral,em,1304.86
191,overabelcabral,fundamental_dois,858.25
192,overabelcabral,fundmental_um,494.98
193,overjoaopessoa,em,688.83
194,overjoaopessoa,fundamental_dois,830.2
195,overlimaesilva,fundmental_um,492.97
196,overmarciliofurtado,em,1297.25
197,overmarciliofurtado,fundamental_dois,717.79
198,overmossoro,em,929.61
199,overmossoro,fundamental_dois,550.16
200,overpontanegra,em,1216.24
201,overpontanegra,fundamental_dois,768.45
202,overpontanegra,fundmental_um,512.5
203,overzonanorte,em,1343.37
204,overzonanorte,fundamental_dois,608.96
205,overzonanorte,fundmental_um,389.59
206,palmares,fundamental_dois,32.09
207,physicsalcindocacela,em,800.87
208,physicsalcindocacela,fundamental_dois,820.95
209,physicsalmirantebarroso,em,1510.36
210,physicsalmirantebarroso,fundamental_dois,971.55
211,physicsalmirantebarroso,fundmental_um,951.16
212,physicsaugustomontenegro,em,1228.35
213,physicsaugustomontenegro,fundamental_dois,1043.65
214,physicsaugustomontenegro,fundmental_um,965.02
215,physicsaugustomontenegro,infantil,102.15
216,physicsbatistacampos,fundamental_dois,1163.07
217,physicsbatistacampos,fundmental_um,943.65
218,physicscidadenova,em,1498.01
219,physicscidadenova,fundamental_dois,1243.87
220,physicscidadenova,fundmental_um,902.35
221,physicsconselheirofurtado,em,1353.71
222,physicsconselheirofurtado,fundamental_dois,1354.11
223,physicsmacapa,em,1378.88
224,physicsmacapa,fundamental_dois,977.37
225,physicsumarizal,em,1325.66
226,physicsumarizal,fundamental_dois,1077.23
227,physicsumarizal,fundmental_um,964.6
228,pioxi,em,951.12
229,pioxi,fundamental_dois,619.63
230,portinari,em,1363.84
231,portinari,fundamental_dois,637.21
232,portinari,fundmental_um,382.58
233,porto,em,1983.66
234,porto,fundamental_dois,140.84
235,portoseguro,em,54.33
236,provaspoliedro,em,422.94
237,provaspoliedro,fundamental_dois,149.12
238,psantagema,em,954.94
239,psantagema,fundamental_dois,723.27
240,sagradafamilia,em,574.38
241,sagradafamilia,fundamental_dois,13.56
242,santadoroteia,em,338.04
243,santoagostinho,fundamental_dois,31.09
244,santoamerico,em,739.67
245,santoamerico,fundamental_dois,445.28
246,santoamericoteste,fundamental_dois,10.0
247,santoantonio,fundamental_dois,30.09
248,sas,em,144.0
249,sas,fundamental_dois,256.09
250,sas,infantil,581.33
251,sasadapt,em,75.43
252,sasadaptem,em,102.33
253,sasadaptem,fundamental_dois,124.09
254,sasadaptfund,fundamental_dois,31.09
255,saseducacao,fundamental_dois,53.09
256,senhorbonfim,fundamental_dois,18.08
257,serios,fundamental_dois,47.09
258,spdacruz,em,859.2
259,spdacruz,fundamental_dois,874.47
260,spdacruz,fundmental_um,908.0
261,stellamarisaguaverde,fundamental_dois,608.86
262,stellamarisaguaverde,fundmental_um,174.46
263,stellamarisjuveve,em,1171.19
264,stellamarisjuveve,fundamental_dois,780.86
265,stellamarisjuveve,fundmental_um,286.14
266,stellamarisxaxim,em,1151.19
267,stellamarisxaxim,fundamental_dois,681.22
268,stellamarisxaxim,fundmental_um,326.82
269,tiathais,fundmental_um,4.0
270,universitariolondrina,em,2522.5
271,universitariolondrina,fundamental_dois,1430.27
272,universitariolondrina,fundmental_um,666.39
273,universobarcarena,em,809.58
274,universobarcarena,fundamental_dois,452.92
275,universobarcarena,fundmental_um,309.47
276,valdemiracoelho,fundamental_dois,33.34
277,vicentecravo,fundamental_dois,5.0
278,villalobos,em,1047.56
279,villalobos,fundamental_dois,682.34
280,villalobos,fundmental_um,341.0
