,namespace,Horas econimizadas,Folhas de papel economizadas,Valor economizado em papel (reais),N° questões,created
99,eluneonline,0.01,4.67,0.47,28.0,44.0
100,equipe,0.04,30.33,3.03,29.0,4.0
101,escolaceciliameireles,1.36,978.33,97.83,842.0,0.0
102,escolainternacional,0.08,57.33,5.73,26.0,0.0
103,escolajardimdasnacoes,0.03,18.33,1.83,26.0,8.0
104,escolamaster,1.39,1001.33,100.13,905.0,364.0
105,escolavida,0.5,357.83,35.78,128.0,3.0
106,faculdadeflamingo,1403.65,1010626.83,101062.68,23951.0,0.0
107,forumcultural,0.08,56.83,5.68,65.0,7.0
108,francobrasileiro,6.5,4683.17,468.32,10663.0,73.0
109,fundacaobradesco,0.06,43.5,4.35,39.0,3.0
110,galois,0.04,28.33,2.83,38.0,3.0
111,gamt,13.45,9685.0,968.5,0.0,0.0
112,idaam,0.53,379.33,37.93,488.0,19.0
113,idb,0.07,50.0,5.0,18.0,310.0
114,insa,74.14,53381.17,5338.12,29650.0,6328.0
115,institutocristao,0.45,325.5,32.55,1953.0,278.0
116,institutoeurofarma,13.4,9645.83,964.58,914.0,178.0
117,institutokairos,0.12,88.33,8.83,2.0,0.0
118,integra,127.35,91689.83,9168.98,908.0,3.0
119,integradaeducativa,420.78,302963.32999999996,30296.33,24800.0,1224.0
120,invictus,17.0,12239.33,1223.93,2483.0,1074.0
121,ipdhsolucoes,89.04,64106.67,6410.67,244.0,0.0
122,isem,62.06,44681.5,4468.15,3171.0,8.0
123,ismart,0.11,80.5,8.05,30.0,0.0
124,itamarati,127.4,91727.83,9172.78,602.0,13.0
125,jardimsaopaulo,0.18,132.67000000000002,13.27,295.0,7.0
126,jeanpiaget,0.03,19.0,1.9,30.0,7.0
127,joaobelem,0.0,3.33,0.33,20.0,6.0
128,joaorosa,0.21,150.17,15.02,7.0,0.0
129,laboratoriosromildo,5.24,3770.0,377.0,4215.0,20.0
130,liessin,10.81,7780.83,778.08,1076.0,15.0
131,liessinbarra,8.28,5961.33,596.13,1166.0,53.0
132,litteratus,0.24,171.67000000000002,17.17,313.0,56.0
133,macvest,155.33,111836.33,11183.63,7034.0,239.0
134,magister,0.13,90.83,9.08,545.0,0.0
135,maplebearslz,1.54,1107.0,110.7,6642.0,310.0
136,mariaeunice,0.02,16.0,1.6,0.0,0.0
137,mariliamattoso,175.21,126154.67,12615.47,4531.0,12783.0
138,master,40.43,29110.5,2911.05,28845.0,51.0
139,montessori,0.04,31.0,3.1,186.0,0.0
140,motiva,0.42,305.67,30.57,106.0,301.0
141,murilorocha,0.69,499.0,49.9,90.0,25.0
142,navegasas,0.2,145.0,14.5,18.0,10.0
143,novotempo,0.18,129.5,12.95,777.0,751.0
144,nucleocriativo,1.78,1279.33,127.93,3590.0,99.0
145,objetivolorena,290.52,209175.83,20917.58,15152.0,588.0
146,objetivoteresina,0.01,8.5,0.85,21.0,6.0
147,oficinadoestudante,740.39,533082.3300000001,53308.23,13331.0,323.0
148,overabelcabral,166.87,120142.83,12014.28,14618.0,676.0
149,overjoaopessoa,12.35,8894.5,889.45,4176.0,384.0
150,overlimaesilva,8.01,5763.67,576.37,2155.0,0.0
151,overmarciliofurtado,105.06,75640.0,7564.0,10680.0,494.0
152,overmossoro,50.7,36505.33,3650.53,6431.0,1408.0
153,overnascimentodecastro,149.54,107670.0,10767.0,2601.0,100.0
154,overpontanegra,47.58,34259.67,3425.97,9451.0,318.0
155,overzonanorte,86.65,62386.5,6238.65,10890.0,1047.0
156,palmares,0.1,70.0,7.0,75.0,2.0
157,pesenglish,0.03,22.17,2.22,43.0,0.0
158,physicsalcindocacela,314.99,226792.0,22679.2,13488.0,1399.0
159,physicsalmirantebarroso,330.71,238111.33,23811.13,66137.0,1547.0
160,physicsaugustomontenegro,201.08,144775.5,14477.55,49068.0,589.0
161,physicsbatistacampos,139.72,100596.0,10059.6,53946.0,621.0
162,physicscidadenova,281.4,202606.67,20260.67,67144.0,1211.0
163,physicsconselheirofurtado,227.84,164041.66999999998,16404.17,16495.0,611.0
164,physicsmacapa,41.85,30128.67,3012.87,24154.0,1367.0
165,physicsumarizal,139.43,100392.0,10039.2,52773.0,3436.0
166,pioxi,153.76,110705.17,11070.52,16036.0,680.0
167,pioxiicolegio,0.14,98.17,9.82,589.0,73.0
168,plannetataboao,3.22,2320.0,232.0,13920.0,0.0
169,poliedro,0.18,131.83,13.18,791.0,0.0
170,portalsas,0.01,7.67,0.77,10.0,0.0
171,portinari,463.01,333364.17000000004,33336.42,16471.0,956.0
172,porto,125.72,90521.33,9052.13,59000.0,684.0
173,primeirodemaio,90.34,65046.83,6504.68,3872.0,360.0
174,prismapatrocinio,3.83,2757.17,275.72,16543.0,1282.0
175,profederal,222.64,160300.67,16030.07,10471.0,1752.0
176,provaspoliedro,4.3,3097.33,309.73,10931.0,49.0
177,psantagema,24.65,17745.33,1774.53,6683.0,991.0
178,redeapogeu,0.03,18.67,1.87,4.0,4.0
179,sagradafamilia,3.85,2768.5,276.85,4845.0,282.0
180,santadoroteia,4.13,2973.17,297.32,3805.0,64.0
181,santoagostinho,0.03,19.83,1.98,29.0,3.0
182,santoamerico,835.6,601632.6699999999,60163.27,27304.0,925.0
183,santoamericoteste,0.05,35.17,3.52,10.0,4.0
184,santoantonio,0.06,44.83,4.48,47.0,15.0
185,sas,0.61,439.83000000000004,43.98,1082.0,1699.0
186,sasadapt,0.74,533.5,53.35,114.0,51.0
187,sasadaptem,0.22,155.32999999999998,15.53,122.0,79.0
188,sasadaptfund,0.04,32.33,3.23,26.0,14.0
189,saseducacao,0.55,396.0,39.6,111.0,45.0
190,serios,0.04,27.83,2.78,32.0,20.0
191,simbios,0.04,31.0,3.1,186.0,0.0
192,souhabilis,2.56,1844.83,184.48,9800.0,13824.0
193,spdacruz,296.96,213810.0,21381.0,12966.0,408.0
194,stellamarisaguaverde,74.43,53592.67,5359.27,2326.0,55.0
195,stellamarisjuveve,378.78,272718.0,27271.8,24198.0,941.0
196,stellamarisxaxim,205.35,147851.0,14785.1,10710.0,506.0
197,tiathais,0.08,60.17,6.02,7.0,0.0
198,universitariolondrina,567.29,408447.0,40844.7,69291.0,2659.0
199,universobarcarena,286.71,206431.0,20643.1,13158.0,1176.0
200,villalobos,881.21,634473.8300000001,63447.38,56051.0,1954.0
201,visaorecife,0.06,45.67,4.57,13.0,0.0
202,zecarioca,0.0,1.67,0.17,10.0,0.0
203,acesso,27.93,20106.5,2010.65,0.0,0.0
204,acessoportao,0.0,1.0,0.1,0.0,0.0
205,anchietaba,0.03,22.0,2.2,0.0,0.0
206,apogeustoantonio1,0.1,71.0,7.1,0.0,0.0
207,arco,0.01,9.0,0.9,0.0,0.0
208,capacitacaoinspira,2.24,1610.0,161.0,0.0,0.0
209,cats,0.52,374.0,37.4,0.0,0.0
210,caur,0.01,7.5,0.75,0.0,56.0
211,cecb,0.0,1.0,0.1,0.0,0.0
212,colegioanchietaii,0.0,3.5,0.35,0.0,1.0
213,colegiomilitardompedroii,0.0,1.0,0.1,0.0,0.0
214,colegionobre,0.03,23.0,2.3,0.0,0.0
215,colegiovitoria,0.06,41.0,4.1,0.0,0.0
216,colsaberviver,0.03,23.5,2.35,0.0,0.0
217,conradochaves,0.19,133.5,13.35,0.0,0.0
218,cursoprogressao,5.17,3722.5,372.25,0.0,0.0
219,dialeticacursos,4.05,2914.5,291.45,0.0,0.0
220,escolacristaboaviagem,0.12,87.0,8.7,0.0,0.0
221,escoladeimpacto,0.12,89.0,8.9,0.0,0.0
222,esmg,0.01,7.0,0.7,0.0,0.0
223,estantemagica,0.0,1.0,0.1,0.0,0.0
224,gerabixo,2.34,1684.5,168.45,0.0,0.0
225,implantacao,1.22,881.0,88.1,0.0,0.0
226,informacao,50.41,36293.0,3629.3,0.0,0.0
227,intensivaocomalu,0.47,338.0,33.8,0.0,0.0
228,joaosampaio,0.0,0.5,0.05,0.0,5.0
229,lidera,3.99,2874.5,287.45,0.0,0.0
230,maristajoaopauloii,0.0,0.5,0.05,0.0,0.0
231,meta,2.26,1625.0,162.5,0.0,0.0
232,podion,0.01,6.0,0.6,0.0,0.0
233,professoratalitha,2.8,2016.0,201.6,0.0,0.0
234,progressaodc,38.26,27544.5,2754.45,0.0,0.0
235,progressaoig,45.44,32715.5,3271.55,0.0,0.0
236,qescola,0.64,463.5,46.35,0.0,0.0
237,recriar,0.05,39.0,3.9,0.0,0.0
238,robertomarcal,8.03,5779.5,577.95,0.0,0.0
239,sasadaptrelatorios,0.24,172.0,17.2,0.0,0.0
240,sistemaeducacionalmaster,0.04,30.5,3.05,0.0,0.0
241,tiquinhodegente,1.98,1428.0,142.8,0.0,1.0
242,topguncolombo,0.07,47.0,4.7,0.0,0.0
243,topgunverissimo,0.01,7.5,0.75,0.0,0.0
244,viladainfanciafortaleza,0.01,10.5,1.05,0.0,0.0
245,vitae,0.0,2.5,0.25,0.0,0.0
246,amaisteste,0.01,8.0,0.8,0.0,0.0
247,antaresfatima,0.0,2.0,0.2,0.0,0.0
248,colegiointegralsolar,0.0,2.0,0.2,0.0,0.0
249,colegiomarilia,0.02,16.0,1.6,0.0,0.0
250,colegiomotiva,0.01,8.0,0.8,0.0,0.0
251,dominius,0.01,4.0,0.4,0.0,0.0
252,marianair,0.23,166.0,16.6,0.0,0.0
253,monsenhorfrancisco,0.05,38.0,3.8,0.0,0.0
254,monsenhorgoncalo,0.02,16.0,1.6,0.0,2.0
255,rosadesaron,0.0,2.0,0.2,0.0,0.0
256,santamariacn,0.14,104.0,10.4,0.0,0.0
257,amais,0.0,0.0,0.0,0.0,946.0
258,apogeu,0.0,0.0,0.0,0.0,16.0
259,barraazul,0.0,0.0,0.0,0.0,1.0
260,bernardosayao,0.0,0.0,0.0,0.0,1.0
261,colegiosaoluis,0.0,0.0,0.0,0.0,291.0
262,habilisescolaecurso,0.0,0.0,0.0,0.0,9.0
263,josemelo,0.0,0.0,0.0,0.0,1.0
264,manoelbatista,0.0,0.0,0.0,0.0,9.0
265,portoseguro,0.0,0.0,0.0,0.0,2.0
266,primeiromundo,0.0,0.0,0.0,0.0,3.0
267,riobrancocampinas,0.0,0.0,0.0,0.0,3.0
268,senhorbonfim,0.0,0.0,0.0,0.0,2.0
269,valdemiracoelho,0.0,0.0,0.0,0.0,6.0
