,namespace,owner,"Média de conteúdos selecionados, curados ou criados por mês"
0,abdiasmartins,eduprof.acacio.arnaldo.am,29.0
1,abdiasmartins,eduprof.ana.maria.am,2.0
2,abdiasmartins,eduprof.francisco.ernane.am,1.0
3,abdiasmartins,eduprof.ildenilda.sousa.am,6.0
4,abdiasmartins,eduprof.maria.elieusa.am,6.5
5,abdiasmartins,eduprof.maria.geisa.am,1.0
6,abdiasmartins,eduprof.maria.gorete.am,8.0
7,abdiasmartins,eduprof.samuel.martins.am,6.0
8,abdiasmartins,eduprof.vilamar.araujo.am,4.0
9,abiliomartins,eduprof.ellen.zeziana.am,1.5
10,abiliomartins,eduprof.jhean.rodrigues.am,7.0
11,abiliomartins,eduprof.maria.monica.am,1.0
12,abiliomartins,eduprof.ozana.alves.am,1.0
13,abiliomartins,eduprof.rita.angelo.am,5.0
14,abiliomartins,eduprof.roberto.cesar.am,1.0
15,acessoalmirantetamandare,adrielle.nadolny,65.2
16,acessoalmirantetamandare,alini.gomes,82.5
17,acessoalmirantetamandare,amanda.marcella,58.25
18,acessoalmirantetamandare,andreia.galvan,16.0
19,acessoalmirantetamandare,ariane.chagas,3.0
20,acessoalmirantetamandare,bianca.correia,11.0
21,acessoalmirantetamandare,bruno.francisco,23.6
22,acessoalmirantetamandare,celiane.dalazuana,8.5
23,acessoalmirantetamandare,daiany.souza,47.67
24,acessoalmirantetamandare,daniel.lourenco,14.0
25,acessoalmirantetamandare,daniela.porath,52.4
26,acessoalmirantetamandare,decio.mazur,46.0
27,acessoalmirantetamandare,diego.lima,16.67
28,acessoalmirantetamandare,edson.geremias,14.0
29,acessoalmirantetamandare,elisangela.vanice,36.4
30,acessoalmirantetamandare,fernando.niles,48.0
31,acessoalmirantetamandare,flavio.quadros,9.0
32,acessoalmirantetamandare,franciele.rosa,46.0
33,acessoalmirantetamandare,gustavo.rodrigues,44.0
34,acessoalmirantetamandare,iris.terezinha,7.4
35,acessoalmirantetamandare,joao.rodini,18.4
36,acessoalmirantetamandare,lucas.dos,23.33
37,acessoalmirantetamandare,luiz.paulo,37.0
38,acessoalmirantetamandare,luize.kristine,24.5
39,acessoalmirantetamandare,maikon.oliveira,41.67
40,acessoalmirantetamandare,marcia.serafim,22.5
41,acessoalmirantetamandare,maria.luiza,43.0
42,acessoalmirantetamandare,neide.elizabeth,31.25
43,acessoalmirantetamandare,paulo.fiatte,3.5
44,acessoalmirantetamandare,pedro.stival,29.6
45,acessoalmirantetamandare,rafael.alves,75.0
46,acessoalmirantetamandare,rosele.maria,82.6
47,acessoalmirantetamandare,rosemari.laskos,109.0
48,acessoalmirantetamandare,ruan.antunes,14.2
49,acessoalmirantetamandare,simone.adelaide,42.0
50,acessoalmirantetamandare,simoni.molina,4.5
51,acessoalmirantetamandare,sirlei.da,111.6
52,acessoalmirantetamandare,willian.rocha,7.0
53,acessoalmirantetamandare,ynajara.prado,98.4
54,acessoboqueirao,MauroCesar,43.2
55,acessoboqueirao,adriano.lima,42.6
56,acessoboqueirao,ana.maria,40.4
57,acessoboqueirao,andrea.lopes,3.75
58,acessoboqueirao,anna.claudia,95.6
59,acessoboqueirao,ariane.chagas,2.0
60,acessoboqueirao,augusto.mozart,7.8
61,acessoboqueirao,braguim.ana,37.4
62,acessoboqueirao,cintia.lopes,10.75
63,acessoboqueirao,cristofer.muller,53.6
64,acessoboqueirao,daniel.lourenco,10.8
65,acessoboqueirao,diego.lima,2.0
66,acessoboqueirao,eduardo.brito,16.4
67,acessoboqueirao,eliaquim.silva,1.0
68,acessoboqueirao,erivaldo.aparecido,37.2
69,acessoboqueirao,fernanda.rossetto,2.0
70,acessoboqueirao,gessinguer.matheus,39.6
71,acessoboqueirao,giovani.lucas,13.75
72,acessoboqueirao,giovanni.antonio,47.2
73,acessoboqueirao,guilherme.figura,29.6
74,acessoboqueirao,guilherme.ramos,24.8
75,acessoboqueirao,guilherme.shibata,7.2
76,acessoboqueirao,gustavo.felipe,28.8
77,acessoboqueirao,ivo.lessa,1.0
78,acessoboqueirao,jaime.mauricio,8.8
79,acessoboqueirao,janete.correa,117.5
80,acessoboqueirao,joao.filipe,13.67
81,acessoboqueirao,jonathan.willian,9.4
82,acessoboqueirao,jucara.feitosa,40.6
83,acessoboqueirao,livia.santos,20.0
84,acessoboqueirao,lucas2021,18.2
85,acessoboqueirao,luiz.ricardo,18.0
86,acessoboqueirao,maria.luiza,11.6
87,acessoboqueirao,michele.pilato,21.6
88,acessoboqueirao,paulo.fabricio,34.8
89,acessoboqueirao,paulo.roberto,45.0
90,acessoboqueirao,pedro.adriano,18.6
91,acessoboqueirao,rafael.alves,60.0
92,acessoboqueirao,rafael.varistelo,44.8
93,acessoboqueirao,roseane.dalpiaz,76.8
94,acessoboqueirao,sidnei.christoff,12.4
95,acessoboqueirao,simone.oliveira,27.0
96,acessoboqueirao,tamajoara.proenca,38.6
97,acessoboqueirao,thaysa.franco,63.4
98,acessoboqueirao,thiago.luis,15.5
99,acessoboqueirao,thiago.mendes,8.6
100,acessoboqueirao,virginie.pierin,137.4
101,acessoboqueirao,william.robert,28.8
102,acessocampolargo,alessandro.correa,14.0
103,acessocampolargo,ana.ganassoli,70.4
104,acessocampolargo,cintia.lopes,39.4
105,acessocampolargo,cristiano.borges,142.4
106,acessocampolargo,daniel.lourenco,23.2
107,acessocampolargo,daniel.tadanori,4.6
108,acessocampolargo,dulcineia.kempner,117.2
109,acessocampolargo,edmar.brustolin,17.8
110,acessocampolargo,eduardo.stelle,5.0
111,acessocampolargo,eliaquim.silva,1.0
112,acessocampolargo,evelin.marques,296.5
113,acessocampolargo,everton.luis,47.4
114,acessocampolargo,gislaine.winheski,51.6
115,acessocampolargo,guilherme.dobrychtop,26.2
116,acessocampolargo,jaqueline.berton,26.0
117,acessocampolargo,joao.rodini,34.0
118,acessocampolargo,leonardo.jose,5.4
119,acessocampolargo,luiz.ricardo,8.0
120,acessocampolargo,mario.souza,43.8
121,acessocampolargo,monica.marcelle,27.8
122,acessocampolargo,pedro.adriano,9.6
123,acessocampolargo,rafael.alves,55.0
124,acessocampolargo,roger.fernando,27.75
125,acessocampolargo,rosele.maria,70.4
126,acessocampolargo,ruan.antunes,21.5
127,acessocampolargo,rubens.labios,36.6
128,acessocampolargo,tamyris.kempner,104.2
129,acessocampolargo,terezinha.salvador,59.0
130,acessocampolargo,valquiria.eloise,27.4
131,acessocampolargo,vania.regina,18.4
132,acessocampolargokids,ana.figueiredo,23.2
133,acessocampolargokids,ana.schneider,34.2
134,acessocampolargokids,andressa.freitas,13.8
135,acessocampolargokids,caroline.drugik,103.4
136,acessocampolargokids,danielly.dorada,57.6
137,acessocampolargokids,elisangela.marinhak,103.4
138,acessocampolargokids,glenda.pollice,59.8
139,acessocampolargokids,jocimara.moraes,1.0
140,acessocampolargokids,luiza.batista,2.0
141,acessocampolargokids,mariacristina.matos,28.0
142,acessocampolargokids,vania.savio,5.33
143,acessofazendariogrande,alana.deus,9.0
144,acessofazendariogrande,alessandro.correa,19.67
145,acessofazendariogrande,alexandre.luiz,46.8
146,acessofazendariogrande,alisson.da,65.0
147,acessofazendariogrande,andreia.farias,25.6
148,acessofazendariogrande,andreia.simone,47.0
149,acessofazendariogrande,ariane.chagas,1.0
150,acessofazendariogrande,cristofer.muller,6.2
151,acessofazendariogrande,edmar.brustolin,15.6
152,acessofazendariogrande,eduardo.stelle,5.5
153,acessofazendariogrande,elaine.vaz,32.6
154,acessofazendariogrande,guilherme.ieger,20.0
155,acessofazendariogrande,jean.carlos,83.0
156,acessofazendariogrande,jefferson.renato,1.0
157,acessofazendariogrande,jessica.thais,25.8
158,acessofazendariogrande,joao.rodini,29.0
159,acessofazendariogrande,kamila.silva,65.8
160,acessofazendariogrande,kaue.nascimento,9.0
161,acessofazendariogrande,kelly.juliene,18.8
162,acessofazendariogrande,leonardo.jose,46.2
163,acessofazendariogrande,luiz.paulo,39.5
164,acessofazendariogrande,michele.pilato,73.4
165,acessofazendariogrande,paulo.fabricio,71.8
166,acessofazendariogrande,pedro.adriano,10.8
167,acessofazendariogrande,rafael.alves,55.0
168,acessofazendariogrande,rodrigo.simao,8.0
169,acessofazendariogrande,roger.fernando,7.75
170,acessofazendariogrande,sergio.junior,51.4
171,acessofazendariogrande,sheila.marafigo,61.67
172,acessofazendariogrande,simone.zamperon,8.2
173,acessofazendariogrande,tatiane.cristina,56.0
174,acessofazendariogrande,thalyta.duma,25.0
175,acessofazendariogrande,william.robert,17.0
176,acessofazendariogrande,willian.gean,49.4
177,acessohauer,alexandre.luiz,49.0
178,acessohauer,amanda.coutinho,108.25
179,acessohauer,ana.claudia,141.0
180,acessohauer,ana.maria,139.8
181,acessohauer,anna.claudia,37.8
182,acessohauer,ariane.chagas,1.0
183,acessohauer,braguim.ana,35.0
184,acessohauer,bruna.esser,34.8
185,acessohauer,diego.godoy,77.2
186,acessohauer,eliaquim.silva,1.0
187,acessohauer,elisangela.vanice,11.0
188,acessohauer,emanuelle.cristiane,66.8
189,acessohauer,graciele.isabel,11.25
190,acessohauer,juliana.azevedo.oliveira,109.8
191,acessohauer,luciana.helena,196.8
192,acessohauer,maria.pinto,35.0
193,acessohauer,mariana.lopes,63.4
194,acessohauer,matriculadores.susyara.cristiane,1.0
195,acessohauer,mauro.cesar,139.4
196,acessohauer,morgana.brito,8.8
197,acessohauer,rafael.alves,15.0
198,acessohauer,sara.ruana,71.4
199,acessohauer,simone.adelaide,78.2
200,acessohauer,thaysa.franco,110.0
201,acessohauer,valquiria.eloise,41.2
202,acessohauer,william.robert,28.6
203,acessopinhais,alana.deus,25.6
204,acessopinhais,andrea.lopes,3.8
205,acessopinhais,daniel.gama,11.67
206,acessopinhais,delton.savi,26.4
207,acessopinhais,edmar.brustolin,13.4
208,acessopinhais,eduardo.stelle,5.25
209,acessopinhais,elisa.sizenandop,14.8
210,acessopinhais,fernada.maccagnan,16.75
211,acessopinhais,gessinguer.rodecz,13.0
212,acessopinhais,gilberto.alves,5.0
213,acessopinhais,guilherme.ieger,25.2
214,acessopinhais,iris.terezinha,43.2
215,acessopinhais,isabel.cristina,26.6
216,acessopinhais,jaqueline.castro,12.4
217,acessopinhais,joao.rodini,45.2
218,acessopinhais,leonardo.ceschin,1.0
219,acessopinhais,livia.santos,10.33
220,acessopinhais,lucas.alberto,9.0
221,acessopinhais,luis.felipe,38.6
222,acessopinhais,luis.marafigo,42.6
223,acessopinhais,paulo.roberto,6.0
224,acessopinhais,pedro.adriano,9.0
225,acessopinhais,rafael.alves,50.0
226,acessopinhais,roger.soares,11.0
227,acessopinhais,simone.oliveira,13.75
228,acessopinhais,tauyllin.bruno,4.0
229,acessopinhais,thiago.mendes,14.0
230,acessosantafelicidade,alexandre.luiz,21.8
231,acessosantafelicidade,andre.lopes,13.0
232,acessosantafelicidade,andrea.lopes,2.6
233,acessosantafelicidade,angelis.gabardo,122.0
234,acessosantafelicidade,ariane.chagas,3.5
235,acessosantafelicidade,augusto.mozart,15.4
236,acessosantafelicidade,bruna.sampaio,16.2
237,acessosantafelicidade,cintia.aparecida,40.5
238,acessosantafelicidade,cintia.lopes,5.0
239,acessosantafelicidade,cintia.meri,39.0
240,acessosantafelicidade,cristofer.muller,57.0
241,acessosantafelicidade,daiane.pereira1,93.6
242,acessosantafelicidade,dayllem.aparecida,35.6
243,acessosantafelicidade,decio.mazur,3.0
244,acessosantafelicidade,eduardo.brito,18.2
245,acessosantafelicidade,eduardo.stelle,6.0
246,acessosantafelicidade,eliaquim.silva,1.5
247,acessosantafelicidade,erivaldo.aparecido,15.0
248,acessosantafelicidade,felipe.rodini,27.8
249,acessosantafelicidade,glaziele.miranda,27.0
250,acessosantafelicidade,guilherme.figura,11.5
251,acessosantafelicidade,gustavo.felipe,14.6
252,acessosantafelicidade,janaina.souza,31.5
253,acessosantafelicidade,jaqueline.santana,21.75
254,acessosantafelicidade,joao.rodini,20.6
255,acessosantafelicidade,lawrence.young,31.6
256,acessosantafelicidade,leonardo.ceschin,6.0
257,acessosantafelicidade,ligia.serpa,71.0
258,acessosantafelicidade,livia.santos,161.0
259,acessosantafelicidade,lucas.alberto,47.6
260,acessosantafelicidade,luiz.ricardo,9.5
261,acessosantafelicidade,maria.carmo,25.33
262,acessosantafelicidade,maria.luiza,85.2
263,acessosantafelicidade,maria.pinto2,17.6
264,acessosantafelicidade,monica.marcelle,9.0
265,acessosantafelicidade,neide.elizabeth,39.0
266,acessosantafelicidade,pedro.adriano,9.6
267,acessosantafelicidade,priscila.cavali,61.0
268,acessosantafelicidade,rafael.alves,50.0
269,acessosantafelicidade,rosemeri.laskos,29.4
270,acessosantafelicidade,sandra.mara,111.2
271,acessosantafelicidade,siddhartha.kumar,9.0
272,acessosantafelicidade,silvana.sadzinski,45.2
273,acessosantafelicidade,simone.oliveira,25.0
274,acessosantafelicidade,tatiane.cristina,26.0
275,acessosantafelicidade,thiago.mayron,58.0
276,acessosantafelicidade,thiago.mendes,16.4
277,acessosantafelicidade,virginie.pierin,30.8
278,acessosantafelicidade,ynajara.prado,49.4
279,acessosjpinhais,adriano.maia,244.8
280,acessosjpinhais,allan.araujo,24.4
281,acessosjpinhais,amanda.zanatta,87.2
282,acessosjpinhais,andre.lopes,14.25
283,acessosjpinhais,andreia.sovinski,16.25
284,acessosjpinhais,andressa.silva,58.8
285,acessosjpinhais,ane.maia,23.75
286,acessosjpinhais,ariane.chagas,2.5
287,acessosjpinhais,bellin.matheus,55.2
288,acessosjpinhais,bharbara.lima,29.8
289,acessosjpinhais,camila.gomes,126.0
290,acessosjpinhais,camila.lima,16.0
291,acessosjpinhais,cassia.zenziski,21.2
292,acessosjpinhais,cassiane.penha,11.75
293,acessosjpinhais,claudia.zuchi,52.6
294,acessosjpinhais,daniel.oshima,7.8
295,acessosjpinhais,decio.mazur,58.8
296,acessosjpinhais,edilton.niewiadomski,18.6
297,acessosjpinhais,edmar.brustolin,13.2
298,acessosjpinhais,eduardo.stelle,5.5
299,acessosjpinhais,elaine.brito,19.0
300,acessosjpinhais,felipe.lima,15.75
301,acessosjpinhais,felipe.moreno,37.2
302,acessosjpinhais,fernando.cesar,11.5
303,acessosjpinhais,flavio.quadros,33.0
304,acessosjpinhais,franciele.moura,68.2
305,acessosjpinhais,gessinger.rodecz,25.0
306,acessosjpinhais,grasieli.santos,27.33
307,acessosjpinhais,guilherme.barbosa,108.0
308,acessosjpinhais,igor.monteiro,14.33
309,acessosjpinhais,iris.santos,9.0
310,acessosjpinhais,isabel.casarin,71.4
311,acessosjpinhais,ivo.lessa,13.6
312,acessosjpinhais,jaqueline.antonio,35.0
313,acessosjpinhais,jessica.lesniowski,75.4
314,acessosjpinhais,jhulian.amaral,116.2
315,acessosjpinhais,juliane.moro,7.8
316,acessosjpinhais,karoline.morette,19.5
317,acessosjpinhais,kelly.miranda,30.6
318,acessosjpinhais,leonardo.ceschin,1.0
319,acessosjpinhais,livia.melo,18.0
320,acessosjpinhais,luciana.favoretto,31.5
321,acessosjpinhais,luciana.mello,30.8
322,acessosjpinhais,luis.siqueira,30.6
323,acessosjpinhais,marcela.belomaia,32.6
324,acessosjpinhais,marialuiza.oliveira,93.6
325,acessosjpinhais,mario.junior,59.6
326,acessosjpinhais,michele.almeida,58.0
327,acessosjpinhais,michele.dias,11.25
328,acessosjpinhais,naiana.saldanha,24.6
329,acessosjpinhais,nathane.pacheco,59.8
330,acessosjpinhais,pauliane.ienkot,173.0
331,acessosjpinhais,pedro.alexandre,41.2
332,acessosjpinhais,rafael.alves,50.0
333,acessosjpinhais,rafael.floro,26.2
334,acessosjpinhais,raquel.britto,6.5
335,acessosjpinhais,regina.rocha,12.0
336,acessosjpinhais,regis.lopes,3.5
337,acessosjpinhais,rodrigo.simao,5.8
338,acessosjpinhais,shaiane.vieira,6.5
339,acessosjpinhais,siddhartha.giese,38.0
340,acessosjpinhais,suelem.antonio,26.8
341,acessosjpinhais,suelin.laurindo,125.2
342,acessosjpinhais,thiago.zeni,6.6
343,acessosjpinhais,valeria.cordeiro,64.2
344,acessosjpinhais,vanessa.greco,133.6
345,adrianochan,Gracileia.Moraes,1.0
346,adrianochan,Matinta01,34.2
347,adrianochan,adriano.chan,37.0
348,adrianochan,ahmad.hamze,30.2
349,adrianochan,bia.arruda,15.2
350,adrianochan,case.vasconcellos,1.0
351,adrianochan,david.neto,29.4
352,adrianochan,gustavo.doretto,109.6
353,adrianochan,jamal.osman,34.2
354,adrianochan,livia.migliorini,8.67
355,adrianochan,me.cacchi,53.4
356,adrianochan,octavio.da.matta,1.0
357,adrianochan,sandra.sakamoto,5.0
358,adrianochan,stela.pieri,58.4
359,aescobjetivo,adriana.franco,33.5
360,aescobjetivo,adriana.lopes,107.75
361,aescobjetivo,aescestudio01,51.0
362,aescobjetivo,aescestudio02,35.8
363,aescobjetivo,aescestudio03,37.4
364,aescobjetivo,aescestudio04,21.5
365,aescobjetivo,aescestudio05,51.2
366,aescobjetivo,aescestudio06,29.75
367,aescobjetivo,aescestudio07,46.0
368,aescobjetivo,aescestudio08,45.25
369,aescobjetivo,aescestudio09,47.75
370,aescobjetivo,aescestudio10,24.5
371,aescobjetivo,aescestudio11,21.75
372,aescobjetivo,aescestudio12,23.0
373,aescobjetivo,aescestudio13,24.5
374,aescobjetivo,aescestudio14,16.0
375,aescobjetivo,aline.scalon,36.5
376,aescobjetivo,ana.cecilia,18.2
377,aescobjetivo,anajulia.duarte,13.8
378,aescobjetivo,claudecir.ricardo,4.25
379,aescobjetivo,daniel.fernando,24.25
380,aescobjetivo,denis.morasi,13.5
381,aescobjetivo,devalcir.antonio,32.75
382,aescobjetivo,diego.pires,64.2
383,aescobjetivo,elias.oliveira,16.75
384,aescobjetivo,isabella.marinho,8.0
385,aescobjetivo,joy.carpes,58.0
386,aescobjetivo,julia.benedetti,51.2
387,aescobjetivo,juliana.silas,126.0
388,aescobjetivo,kamilla.oliveira,42.25
389,aescobjetivo,luiz.tiago,102.0
390,aescobjetivo,luiza.santiago,4.75
391,aescobjetivo,marcelo.crispim,14.75
392,aescobjetivo,marcio.resende,18.5
393,aescobjetivo,maria.eunice,59.25
394,aescobjetivo,maria.lucia,56.0
395,aescobjetivo,mariana.chaves,45.6
396,aescobjetivo,marina.campos,30.0
397,aescobjetivo,miguel.franco,16.75
398,aescobjetivo,mirella.mansour,27.0
399,aescobjetivo,natalia.centioli,22.8
400,aescobjetivo,prof.t,1.0
401,aescobjetivo,raniery.rosa,38.75
402,aescobjetivo,renata.andrea,48.0
403,aescobjetivo,roberta.taffarello,10.75
404,aescobjetivo,rosina.muto,109.6
405,aescobjetivo,samira.fiorezi,77.4
406,aescobjetivo,simone.barbosa,58.0
407,aescobjetivo,simone.lassala,54.75
408,aescobjetivo,thais.pelaquim,80.6
409,aescobjetivo,thiago.assis,60.25
410,aescobjetivo,thiago.avansi,10.0
411,aescobjetivo,viviana.barbosa,6.25
412,aescobjetivo,viviane.rosemeire,154.0
413,alfacembilingue,sas.admin,7.0
414,alpha,Anacarolinadefaria,14.0
415,alpha,Anapaulasantos,43.25
416,alpha,Arianenogueira,93.25
417,alpha,Carlafernanda,2.4
418,alpha,Chrisferreira,24.6
419,alpha,Danielivilela,73.4
420,alpha,Daniellamassarenti,17.0
421,alpha,Dirlenedousseau,35.6
422,alpha,FelipeMGomes,7.0
423,alpha,Flaviaakiko,18.75
424,alpha,GabrielDelgado,24.75
425,alpha,GiselePampanini,14.0
426,alpha,Helanesouza,69.0
427,alpha,JessicaDeBiasi,13.0
428,alpha,JorgeACesar,14.25
429,alpha,Josemoraes,35.0
430,alpha,Joyceazevedo,68.4
431,alpha,Keilaantunes,49.75
432,alpha,LaisPimentel,15.25
433,alpha,Ligialozano,32.8
434,alpha,Marcoscorrea,19.5
435,alpha,Mariliaeira,9.25
436,alpha,Paulapiccolo,1.0
437,alpha,Polianabittencourt,62.6
438,alpha,Regianeminas,36.5
439,alpha,TiagoCampos,14.75
440,alpha,VanessaNassif,42.0
441,alpha,WagnerMaracini,8.4
442,alpha,Ze,68.0
443,alpha,alinematsushita,67.25
444,alpha,anafazolli,31.5
445,alpha,andressaboschetti,47.4
446,alpha,deborareginamagalhaesdiniz,50.5
447,alpha,diegogarcia08,10.75
448,alpha,educadorafisicamariana,63.75
449,alpha,emmanuel,16.25
450,alpha,fabioamonteiro,10.75
451,alpha,fernandapavani,71.8
452,alpha,jportezani,50.75
453,alpha,julypires001,496.4
454,alpha,limeliee,43.25
455,alpha,lucianafava,47.4
456,alpha,marumjacob,13.75
457,alpha,miyuki,32.75
458,alpha,primogerbelli,27.5
459,alpha,prof.alexandra,19.5
460,alpha,prof.arthur,84.25
461,alpha,prof.josias,9.0
462,alpha,prof.julio,53.25
463,alpha,professoralpha29,11.67
464,alpha,professoralpha31,6.5
465,alpha,professoralpha32,26.8
466,alpha,rafaelcunha,34.67
467,alpha,rebecac.brito,4.0
468,alpha,robertaxlg,38.2
469,alpha,victorabr,65.5
470,alpha,viniciusbrito99,8.67
471,alpha,yuriduartec,17.0
472,amadeus,ANDREZZA.SANTOS,14.8
473,amadeus,Aldenescosta03,6.8
474,amadeus,Andreluis,16.6
475,amadeus,Claudiomoreira,5.0
476,amadeus,DIEGO,12.4
477,amadeus,Irisdione,3.0
478,amadeus,Liliancorreia,252.4
479,amadeus,Paulo.Rocha,8.25
480,amadeus,aline.grigorio,2.0
481,amadeus,alinerocha,63.0
482,amadeus,amadeus,17.5
483,amadeus,amandadonascimento,29.75
484,amadeus,anapaulajesus,14.2
485,amadeus,anazelia,30.6
486,amadeus,andresantana,4.75
487,amadeus,andrezaporto,38.6
488,amadeus,anne.santos,95.2
489,amadeus,ashleytrindade,7.0
490,amadeus,bergsonalves,6.0
491,amadeus,brauliosantos,11.0
492,amadeus,brunnolliver,9.67
493,amadeus,brunoduarte,8.8
494,amadeus,caina.marques,4.0
495,amadeus,carla.santana,2.0
496,amadeus,charlenecorreira,9.0
497,amadeus,claudiaraujo,6.0
498,amadeus,claudiceia.melo,76.0
499,amadeus,damarescampos,16.6
500,amadeus,daniel.bastos,2.0
501,amadeus,daniela.tamires,3.0
502,amadeus,daniellefontes,7.0
503,amadeus,danycyn,21.4
504,amadeus,daysepeixoto,34.6
505,amadeus,debora.santos,14.2
506,amadeus,denilsonsantos,2.0
507,amadeus,denisson,3.33
508,amadeus,deywison,10.8
509,amadeus,duanny.menezes,26.2
510,amadeus,edineide.silva,5.2
511,amadeus,eduardoluis,11.8
512,amadeus,elaine.aragao,69.6
513,amadeus,elayne.franca,39.6
514,amadeus,estefanni.silva,25.2
515,amadeus,euclerioleao,99.0
516,amadeus,fabiana.moura,7.4
517,amadeus,fabiodonascimento,9.67
518,amadeus,fritz,6.5
519,amadeus,geraldocoelho,14.6
520,amadeus,gercileide,71.0
521,amadeus,glaucia.santos,40.8
522,amadeus,glicia1978,9.75
523,amadeus,greyce.moura,27.2
524,amadeus,heli.lucas,3.5
525,amadeus,iara.santos,14.75
526,amadeus,irisd,16.0
527,amadeus,itatiana.araujo,7.75
528,amadeus,izabella.matos,17.2
529,amadeus,jaeldson.aquino,4.75
530,amadeus,jonasramos,12.8
531,amadeus,katialeite,23.0
532,amadeus,laureana.moraes,227.8
533,amadeus,leilalima,14.4
534,amadeus,lidiane,13.75
535,amadeus,liliansantos,83.75
536,amadeus,luana.andrade,45.8
537,amadeus,lucasassis,10.2
538,amadeus,lucianodantas,43.0
539,amadeus,luisvictor,1.0
540,amadeus,luizao,2.0
541,amadeus,marcela.oliveira,71.6
542,amadeus,marciavirginia,9.0
543,amadeus,mariavanessa,5.5
544,amadeus,monica.brito,62.0
545,amadeus,nailson,7.8
546,amadeus,neilma.santos,30.5
547,amadeus,patriciafarias,8.0
548,amadeus,pedro.sampaio,31.0
549,amadeus,priscila.goncalves,381.2
550,amadeus,profgiovanni,8.2
551,amadeus,rafael.prof,9.0
552,amadeus,rafael.rocha,25.6
553,amadeus,rafaelssouza,28.0
554,amadeus,reginacox,13.6
555,amadeus,renata.anchieta,16.2
556,amadeus,rigelrabelo,2.0
557,amadeus,robertogois,6.0
558,amadeus,rosangelaamadeus,1.0
559,amadeus,sabrina.dias,2.0
560,amadeus,sara.gabriel,5.6
561,amadeus,shirleide.santos,152.5
562,amadeus,silviaoliveira,9.8
563,amadeus,silviovieira,8.8
564,amadeus,simonechagas,7.4
565,amadeus,sintiadias,8.0
566,amadeus,wilsonmontalvao,4.0
567,amais,estudando.prof,5.5
568,amais,gilson.inspira,126.0
569,amais,larissa.santos,175.0
570,amais,lua.marins1,8.5
571,amais,mariana.castilho,94.0
572,amais,marina.logullo,24.0
573,amais,pedro.bernardes,82.0
574,amais,professorestudando,54.5
575,amais,rafaalves,1.0
576,amais,rafael.alves,53.75
577,amais,rafaela.santos,99.0
578,amais,rayza.romualdo,147.0
579,amais,talita.inspira,92.0
580,anossaatmosfera,barauna,102.6
581,antoniairene,eduprof.francisca.neires.ai,2.0
582,antoniairene,eduprof.maria.cristiane.ai,1.0
583,antoniolima,eduprof.ana.claudia.al,3.0
584,antoniolima,eduprof.francisca.aparecida.al,1.0
585,antoniolima,eduprof.joana.darc.al,7.0
586,antoniolima,eduprof.sonia.maria.al,1.0
587,antoniolima,eduprof.veridiana.pontes.al,1.0
588,antoniolima,henriqueeducamais,1.0
589,antoniomelo,educoor.francisca.marques,1.0
590,antoniomelo,eduprof.ana.florencia.ao,1.0
591,antoniomelo,eduprof.cristiane.oliveira.ao,4.0
592,antoniomelo,eduprof.evandro.paiva.ao,1.0
593,antoniomelo,eduprof.maria.eliueza.ao,19.0
594,apogeu,carlosafp38,7.0
595,apogeu,mariaislf34,11.25
596,apogeustoantonio2,Acauhi,5.5
597,apogeustoantonio2,MarceloVidal,11.8
598,apogeustoantonio2,RomuloMG,16.5
599,apogeustoantonio2,barbaracbb6,16.0
600,apogeustoantonio2,blenke,5.2
601,apogeustoantonio2,carlosafp38,3.0
602,apogeustoantonio2,cintiatoledo,3.0
603,apogeustoantonio2,cristiande,16.5
604,apogeustoantonio2,eulerva88,10.0
605,apogeustoantonio2,fisicaschimtz,10.8
606,apogeustoantonio2,gianibatista,1.0
607,apogeustoantonio2,guilhermeas,2.33
608,apogeustoantonio2,guilhermecalderano,1.0
609,apogeustoantonio2,kerisson,8.5
610,apogeustoantonio2,marcellols49,9.67
611,apogeustoantonio2,marciacs15,3.0
612,apogeustoantonio2,mariaislf34,2.0
613,apogeustoantonio2,nathaliaccg,9.0
614,apogeustoantonio2,patriciamcbarra,5.5
615,apogeustoantonio2,pedrob58,8.25
616,apogeustoantonio2,priscillascampos08,11.8
617,apogeustoantonio2,professorescorretores,30.4
618,apogeustoantonio2,proflucasmonteiro,13.8
619,apogeustoantonio2,raphaelr66,2.0
620,apogeustoantonio2,renatacg,6.5
621,apogeustoantonio2,suelen.alves,12.5
622,apogeustoantonio2,taylorfp21,5.75
623,apogeustoantonio2,thiagoandrade,28.0
624,apogeustoantonio2,victorepg,2.0
625,aprovest,profthomasvidal,1.0
626,arena,sas.admin,315.0
627,arena,sas.professor,1.0
628,arlindocavalcanti,edu.maria.conceicao.da,1.0
629,arturtavares,eduadm.jassiane.alves,4.0
630,arturtavares,eduadm.monica.fonseca,5.0
631,atmo,sas.professor,2.0
632,barraazul,edu.marcia.trajano,1.0
633,barraazul,edu.maria.osivania.de,3.0
634,beityaacov,sas.admin,8.0
635,benjaminconstant,adminsas,261.33
636,benjaminconstant,sas.admin,1473.5
637,benjaminconstant,sas.professor,4.0
638,benjamitacardona,eduadm.luciana.maria,2.0
639,bernardosayao,eduadm.marta.maria,2.0
640,bernardosayao,eduprof.maria.veronice,1.0
641,blueschooleducacional,adminsas,1.0
642,brasilcursinhos,ananiehues,12.0
