,namespace,owner,"Média de exércicios selecionados, curados ou criados por mês"
2836,overabelcabral,TACIANA.DOS.ABEL,100.57
2837,overabelcabral,TAINA.COSTA.ABEL,86.5
2838,overabelcabral,VALCLEA.BARBOSA.ABEL,36.71
2839,overabelcabral,VINICIO.DE.ABEL,41.67
2840,overabelcabral,WILLIANS.DE.ABEL,37.14
2841,overabelcabral,cassiano.AB,558.5
2842,overabelcabral,jonasstanley,2.0
2843,overabelcabral,profjorgeluis,22.0
2844,overjoaopessoa,ADRIANA.SOUZA,34.6
2845,overjoaopessoa,ADRIANO.LIMA,17.5
2846,overjoaopessoa,ARTUR.GOMES,50.0
2847,overjoaopessoa,Douglas.Coelho.JP,343.5
2848,overjoaopessoa,KENNEDY.MALDONADO,5.0
2849,overjoaopessoa,LUIS.FERNANDES,35.0
2850,overjoaopessoa,Luiz.Neto,30.0
2851,overjoaopessoa,Patricia.Dias,27.33
2852,overjoaopessoa,Plinio.Silva,33.5
2853,overjoaopessoa,Rhuan.Mendes,2.6
2854,overjoaopessoa,Rogerio.Oliveira,17.5
2855,overjoaopessoa,Tayna.Olegario,29.0
2856,overjoaopessoa,Tereza.Meneses,32.25
2857,overjoaopessoa,VERONICA.COORD,1.0
2858,overjoaopessoa,camila.over,15.6
2859,overjoaopessoa,cassiano.JP,1256.0
2860,overjoaopessoa,direcao.anaflavia,75.33
2861,overjoaopessoa,dominick.farias,68.5
2862,overjoaopessoa,emanuella.brunet,124.0
2863,overjoaopessoa,fabio.ribeiro,47.14
2864,overjoaopessoa,hugo.rafael,44.67
2865,overjoaopessoa,jayro.ricardo,40.2
2866,overjoaopessoa,karla.cilene,64.17
2867,overjoaopessoa,laergia.mirelly,15.33
2868,overjoaopessoa,larissa.amaro,28.17
2869,overjoaopessoa,rafael.alves,186.0
2870,overjoaopessoa,renato1234,20.0
2871,overlimaesilva,ANA.DAMASCENO,38.43
2872,overlimaesilva,CASSIA.PINHEIRO,14.0
2873,overlimaesilva,JHONATAN.CRUZ,42.0
2874,overlimaesilva,Josemeire.Silva,67.29
2875,overlimaesilva,LEILA.MARTINS,67.14
2876,overlimaesilva,MARIA.ROCHA,36.67
2877,overlimaesilva,Maria.Oliveira,85.14
2878,overlimaesilva,TAINA.OLIVEIRA,23.5
2879,overlimaesilva,UBANEY.ANDRADE,142.8
2880,overlimaesilva,ULIANA.CLEMENTE,19.17
2881,overlimaesilva,ivanessa.costa,61.88
2882,overlimaesilva,jeane.silva,115.0
2883,overmarciliofurtado,ADILSON.JUNIOR.MC,47.25
2884,overmarciliofurtado,ADRIANA.VARELA.MC,110.0
2885,overmarciliofurtado,ADRYANO.GARCAO.MC,5.0
2886,overmarciliofurtado,ALEX.CIRIACO.MC,42.4
2887,overmarciliofurtado,ANTONIO.MELO.MC,11.29
2888,overmarciliofurtado,BRUCE.SILVA.MC,33.86
2889,overmarciliofurtado,BRUNA.PEREIRA.MC,48.33
2890,overmarciliofurtado,CAMILA.DESIDERIO.MC,23.25
2891,overmarciliofurtado,CESAR.CAMILO.MC,25.0
2892,overmarciliofurtado,CLEBER.FININHO,13.0
2893,overmarciliofurtado,CRISTIANO.MICUSSI.MC,98.0
2894,overmarciliofurtado,DANIEL.SILVA,15.12
2895,overmarciliofurtado,DANNIELLE.SALES.MC,33.0
2896,overmarciliofurtado,Dinarte,26.86
2897,overmarciliofurtado,Douglas.Coelho.MF,355.5
2898,overmarciliofurtado,EMERSON.AZEVEDO.MC,55.0
2899,overmarciliofurtado,Elisangela.Maria,308.17
2900,overmarciliofurtado,FRANCISCO.NOBRE.MC,10.43
2901,overmarciliofurtado,IARA.COCENTINO.MC,84.17
2902,overmarciliofurtado,JANDSON.SILVA.MC,41.43
2903,overmarciliofurtado,JESSE.ARRAIS.MC,8.4
2904,overmarciliofurtado,JHONATAN.CRUZ.MC,10.0
2905,overmarciliofurtado,JOAO.SALES.MC,13.75
2906,overmarciliofurtado,KLEYTON.MIRANDA.MC,30.62
2907,overmarciliofurtado,MARCIA.MORAIS.MC,79.33
2908,overmarciliofurtado,MARIA.AUGUSTA.COORD,10.0
2909,overmarciliofurtado,MONICA.SOUSA.MC,39.83
2910,overmarciliofurtado,MURILO.ALMEIDA.MC,87.4
2911,overmarciliofurtado,PHILLIPE.LIRA.MC,89.0
2912,overmarciliofurtado,RAFAEL.ALBUQUERQUE.MC,22.5
2913,overmarciliofurtado,ROBERIO.SILVA.MC,9.57
2914,overmarciliofurtado,ROGERIO.JUNIOR,16.29
2915,overmarciliofurtado,THIAGO.SILVA.MC,68.57
2916,overmarciliofurtado,ULIANA.CLEMENTE.LN,44.29
2917,overmarciliofurtado,WILLIANS.CAMPOS.MC,41.14
2918,overmarciliofurtado,cassiano.MF,450.0
2919,overmarciliofurtado,profjorgeluis,23.75
2920,overmarciliofurtado,raynara.silva,313.5
2921,overmossoro,DAILTON.FREITAS,28.4
2922,overmossoro,Doug01,383.0
2923,overmossoro,ana.karina,60.33
2924,overmossoro,andreareb,42.25
2925,overmossoro,antonio.alves,13.33
2926,overmossoro,antonio.lima,30.33
2927,overmossoro,arilene.garcia,14.43
2928,overmossoro,augusto.nascimento,16.5
2929,overmossoro,bruna.oliveira,80.0
2930,overmossoro,camila.freitas,68.0
2931,overmossoro,carla.santos,71.12
2932,overmossoro,cassiano.MO,455.0
2933,overmossoro,claudine.freire,10.0
2934,overmossoro,eudes.batista,13.2
2935,overmossoro,expedito.raulino,10.0
2936,overmossoro,francisca.lima,24.2
2937,overmossoro,ilana.kelly,30.0
2938,overmossoro,jessica.albulquerque,18.14
2939,overmossoro,josenildo.nascimento,9.0
2940,overmossoro,julia.vasconcelos,40.83
2941,overmossoro,laerte.macedo,44.5
2942,overmossoro,luiza.over,33.17
2943,overmossoro,mara.lopes,52.0
2944,overmossoro,marcus.silva,22.86
2945,overmossoro,milla.cortez,66.43
2946,overmossoro,misleiza.over,34.83
2947,overmossoro,rafael.alves,186.0
2948,overmossoro,raquel.paiva,31.67
2949,overmossoro,rita.rosario,32.5
2950,overmossoro,ruan.ribeiro,47.14
2951,overmossoro,savio.carlos,20.0
2952,overmossoro,simonitalalima,81.0
2953,overmossoro,sirlene.diogenes,19.0
2954,overmossoro,suyane.lira,33.33
2955,overmossoro,tassio.castro,202.17
2956,overmossoro,tatiana.over,25.43
2957,overnascimentodecastro,ALEX.CIRIACO,23.75
2958,overnascimentodecastro,Douglas.Coelho.NC,207.5
2959,overnascimentodecastro,KLEYTON.MIRANDA,13.86
2960,overnascimentodecastro,diego.menezes,9.8
2961,overnascimentodecastro,igor.oliveira,120.0
2962,overpontanegra,ADRIANA.VASCONCELOS.PN,68.0
2963,overpontanegra,ALESSANDRA.COORD,10.0
2964,overpontanegra,ANA.CAROLINA.PN,23.0
2965,overpontanegra,BRUNA.RAFAELLA.PN,31.67
2966,overpontanegra,CESAR.ZANDONAI.PN,17.5
2967,overpontanegra,CICERO.BRUNO.PN,18.29
2968,overpontanegra,CLEBER.RODRIGUES.PN,13.0
2969,overpontanegra,CRISTIANO.SOARES.PN,122.0
2970,overpontanegra,DANIEL.LUCAS.PN,41.5
2971,overpontanegra,DANIEL.SILVA.PN,28.57
2972,overpontanegra,DEBORA.VIRGINIA.PN,84.2
2973,overpontanegra,Douglas.Coelho.PN,320.5
2974,overpontanegra,EDSON.MICHAEL.PN,17.0
2975,overpontanegra,ELIZABETE.GOMES.PN,41.29
2976,overpontanegra,Elainne.Suzane,67.14
2977,overpontanegra,FLAVIANA.SANTOS.PN,59.12
2978,overpontanegra,FRANCISCA.ARINUZA.PN,16.67
2979,overpontanegra,FRANCISCO.WASHINGTON.PN,116.25
2980,overpontanegra,IARA.SILVIA.PN,67.12
2981,overpontanegra,JANDSON.RAFAEL.PN,48.57
2982,overpontanegra,JAQUELINE.COORD,10.0
2983,overpontanegra,JESSE.FABIANO.PN,12.0
2984,overpontanegra,JOAO.LUCAS.PN,35.86
2985,overpontanegra,JOAO.MARCELO.PN,27.6
2986,overpontanegra,JOAO.PAULO.PN,89.0
2987,overpontanegra,JOSILAN.NUNES.PN,31.6
2988,overpontanegra,Josineide.Silva,63.75
2989,overpontanegra,KLEYTON.DE.PN,17.5
2990,overpontanegra,LEANDRO.GURGEL.PN,8.86
2991,overpontanegra,LUCAS.NASCIMENTO.PN,103.29
2992,overpontanegra,LUCIA.CRISTINA.PN,78.5
2993,overpontanegra,MARIA.ANDRESSA.PN,25.17
2994,overpontanegra,MAXWELL.GRACILIANO.PN,18.86
2995,overpontanegra,MILENA.DE.PN,96.75
2996,overpontanegra,PHILLIPE.CASTRO.PN,33.0
2997,overpontanegra,RAFAEL.ANDERSON.PN,20.0
2998,overpontanegra,ROBERTO.MEDEIROS.PN,51.43
2999,overpontanegra,RODRIGO.CAVALCANTI.PN,102.86
3000,overpontanegra,SEVIO.FERNANDES.PN,20.5
3001,overpontanegra,WILLIANS.DE.PN,51.43
3002,overpontanegra,arthur.estrela,35.0
3003,overpontanegra,carloseduardo.pereira,29.5
3004,overpontanegra,cassiano.PN,450.0
3005,overpontanegra,clara.silvestre,11.67
3006,overpontanegra,diego.filipe,10.29
3007,overpontanegra,ivanessa.costaprof,51.43
3008,overpontanegra,profjorgeluis,22.5
3009,overpontanegra,sergio.lopes,94.67
3010,overzonanorte,Adailton.Figueiredo,55.25
3011,overzonanorte,Adilson.Junior,23.38
3012,overzonanorte,Adryano.Stwart,10.0
3013,overzonanorte,Alex.Lincoln,45.4
3014,overzonanorte,Ana.Costa,30.0
3015,overzonanorte,Ana.Damasceno,50.17
3016,overzonanorte,Andrea.Germano,144.12
3017,overzonanorte,Andressa.Sa,44.0
3018,overzonanorte,Antonio.Pereira,38.57
3019,overzonanorte,Bruce.Lee,15.0
3020,overzonanorte,Bruno.Torres,52.0
3021,overzonanorte,Cristiano.Micussi,92.0
3022,overzonanorte,Daniel.Silva,46.71
3023,overzonanorte,Dannielle.Sales,46.0
3024,overzonanorte,Diego.Menezes,11.25
3025,overzonanorte,Diugo.Pimenta,26.67
3026,overzonanorte,Douglas.Coelho,320.5
3027,overzonanorte,Edson.Losano.zn,13.0
3028,overzonanorte,Hellem.Gercina,51.67
3029,overzonanorte,Igor.Oliveira,101.75
3030,overzonanorte,Isaque.Bezerra,45.5
3031,overzonanorte,Jadson.Carvalho,38.57
3032,overzonanorte,Jessica.Leao,50.17
3033,overzonanorte,Joao.Lucas,54.29
3034,overzonanorte,Jorge.Luis,18.75
3035,overzonanorte,Kamily.Lima,12.8
3036,overzonanorte,Kleyton.Miranda,23.25
3037,overzonanorte,Lanuk.Silva,84.12
3038,overzonanorte,Leandro.Medeiros,11.0
3039,overzonanorte,Luciana.Santos,57.33
3040,overzonanorte,Mauricio.Alves,20.0
3041,overzonanorte,Maxwell.Teixeira,38.57
3042,overzonanorte,Pamela.Lopes,40.14
3043,overzonanorte,Regis.Silva,69.8
3044,overzonanorte,Sivone.Santos,25.0
3045,overzonanorte,Thiago.Ferraz,70.0
3046,overzonanorte,Wendia.Raquel,55.71
3047,overzonanorte,carlos.lima,88.0
3048,overzonanorte,cassiano.ZN,565.0
3049,overzonanorte,rafael.alves,186.0
3050,palmares,palmares.sas,7.0
3051,palmares,sas.admin,6490.0
3052,palmares,sas.professor,3.0
3053,pauloviana,edu.aline.cristina,8.0
3054,pauloviana,edu.ana.lucia,1.0
3055,pauloviana,gercimario.francisco,2.0
3056,pedromurilo,eduprof.marcleide.marcelino,1.0
3057,pesenglish,luiz.admin,9.0
3058,pesenglish,profpes.treinamento,1.0
3059,physicsalcindocacela,Edilson.lima,45.0
3060,physicsalcindocacela,Jefferson.franca,589.83
3061,physicsalcindocacela,anderson.alcindo,23.5
3062,physicsalcindocacela,ernesto.luiz,10.0
3063,physicsalcindocacela,eurico.lucas,9.67
3064,physicsalcindocacela,francisco.guimaraes,325.0
3065,physicsalcindocacela,gessandro.vitorino,30.0
3066,physicsalcindocacela,gleiciane.pantoja,35.8
3067,physicsalcindocacela,hicaro.graffi,36.5
3068,physicsalcindocacela,ivan.gadelha,20.0
3069,physicsalcindocacela,izabelle.quingosta,5.5
3070,physicsalcindocacela,jacqueline.sousa,43.5
3071,physicsalcindocacela,joao.almeida,198.33
3072,physicsalcindocacela,joelson.oliveira,687.0
3073,physicsalcindocacela,jose.araken,34.17
3074,physicsalcindocacela,joseane.lopes,390.67
3075,physicsalcindocacela,lais.amaral,41.25
3076,physicsalcindocacela,luciano.sampaio,29.88
3077,physicsalcindocacela,marcelo.rocha,26.67
3078,physicsalcindocacela,marcio.augusto,49.67
3079,physicsalcindocacela,marcos.andre,13.33
3080,physicsalcindocacela,paulo.israel,9.0
3081,physicsalcindocacela,paulo.rodrigo,65.5
3082,physicsalcindocacela,raimundo.jorge,30.0
3083,physicsalcindocacela,renato.danniel,68.33
3084,physicsalcindocacela,rosimery.paula,26.33
3085,physicsalcindocacela,talita.barrosa,48.0
3086,physicsalcindocacela,thiago.souza,20.43
3087,physicsalcindocacela,thompson.prado,83.0
3088,physicsalcindocacela,victoria.silva,3.0
3089,physicsalcindocacela,waldir.fernando,50.0
3090,physicsalmirantebarroso,Adriano.souza,40.0
3091,physicsalmirantebarroso,alessandra.souza,11.0
3092,physicsalmirantebarroso,aline.priscilla,51.75
3093,physicsalmirantebarroso,ana.lucia,140.0
3094,physicsalmirantebarroso,ananda.etienne,101.29
3095,physicsalmirantebarroso,antonio.rogrigo,75.86
3096,physicsalmirantebarroso,arlindo.rogerio,85.0
3097,physicsalmirantebarroso,arthur.ferreira,63.33
3098,physicsalmirantebarroso,aux.nagila.venancio,332.2
3099,physicsalmirantebarroso,brenda.cruz,16.0
3100,physicsalmirantebarroso,camila.alves,34.14
3101,physicsalmirantebarroso,cesar.augusto,14.0
3102,physicsalmirantebarroso,danielle.sarmento,141.57
3103,physicsalmirantebarroso,danilli.sabrina,144.43
3104,physicsalmirantebarroso,davison.cesar,9.33
3105,physicsalmirantebarroso,debora.patricia,13.0
3106,physicsalmirantebarroso,denise.vieira,15.33
3107,physicsalmirantebarroso,eliane.cristina,29.17
3108,physicsalmirantebarroso,elmo.ricardo,55.0
3109,physicsalmirantebarroso,eny.gleice,115.57
3110,physicsalmirantebarroso,erick.shcneider,11.5
3111,physicsalmirantebarroso,eurico.lucas,4.5
3112,physicsalmirantebarroso,felipe.silva,26.0
3113,physicsalmirantebarroso,francisco.bruno,34.8
3114,physicsalmirantebarroso,giselle.portugal,22.43
3115,physicsalmirantebarroso,glads.silva,25.29
3116,physicsalmirantebarroso,hugo.monteiro,35.4
3117,physicsalmirantebarroso,jeronimo.levi,8.33
3118,physicsalmirantebarroso,joana.ribeiro,82.0
3119,physicsalmirantebarroso,joao.lucas,65.5
3120,physicsalmirantebarroso,jocimar.albernaz,26.0
3121,physicsalmirantebarroso,joelson.oliveira,309.83
3122,physicsalmirantebarroso,jonasstanley,271.0
3123,physicsalmirantebarroso,joseane.lopes,576.29
3124,physicsalmirantebarroso,julio.pereira,21.8
3125,physicsalmirantebarroso,karina.ferreira,7.0
3126,physicsalmirantebarroso,karla.arcoverd,5.0
3127,physicsalmirantebarroso,laira.juliana,55.6
3128,physicsalmirantebarroso,leandro.monteiro,9.0
3129,physicsalmirantebarroso,luciany.martins,149.71
3130,physicsalmirantebarroso,marcio.correa,15.29
3131,physicsalmirantebarroso,maria.jesus,17.0
3132,physicsalmirantebarroso,mario.queiroz,15.71
3133,physicsalmirantebarroso,mayara.cristiny,5.25
3134,physicsalmirantebarroso,michel.silva,10.0
3135,physicsalmirantebarroso,milene.lemos,213.43
3136,physicsalmirantebarroso,mon.marcia.mota,15.0
3137,physicsalmirantebarroso,paulo.arthur,90.0
3138,physicsalmirantebarroso,rafael.alves,186.0
3139,physicsalmirantebarroso,rafael.cunha,30.0
3140,physicsalmirantebarroso,sandro.jhordan,4.5
3141,physicsalmirantebarroso,waldir.fernando,20.0
3142,physicsalmirantebarroso,zilda.silva,38.14
3143,physicsaugustomontenegro,Luiz.felipe,12.0
3144,physicsaugustomontenegro,adriane.pock,146.14
3145,physicsaugustomontenegro,alessandra.dasilva,4.67
3146,physicsaugustomontenegro,alexandre.salomao,15.0
3147,physicsaugustomontenegro,ana.gillet,2.0
3148,physicsaugustomontenegro,anapaula.costa,192.75
3149,physicsaugustomontenegro,anderson.matos,32.0
3150,physicsaugustomontenegro,antonio.sampaio,18.5
3151,physicsaugustomontenegro,bianca.contente,14.4
3152,physicsaugustomontenegro,brenda.lino,6.0
3153,physicsaugustomontenegro,bruno.lima,20.0
3154,physicsaugustomontenegro,caique.lisboa,15.71
3155,physicsaugustomontenegro,cristina.barbosa,48.43
3156,physicsaugustomontenegro,debora.patricia.santos,19.0
3157,physicsaugustomontenegro,denise.vieira,20.17
3158,physicsaugustomontenegro,elizangela.faro,63.67
3159,physicsaugustomontenegro,elmo.vidal,20.0
3160,physicsaugustomontenegro,fabio.dacosta,12.75
3161,physicsaugustomontenegro,fernanda.ferreira,38.86
3162,physicsaugustomontenegro,francisco.uchoa,34.0
3163,physicsaugustomontenegro,gabriela.garcia,159.86
3164,physicsaugustomontenegro,helena.veloso,9.5
3165,physicsaugustomontenegro,hilda.parente,263.6
3166,physicsaugustomontenegro,hugo.pena,19.6
3167,physicsaugustomontenegro,isabela.ribeiro,6.0
3168,physicsaugustomontenegro,janaina.costa,25.57
3169,physicsaugustomontenegro,jeronimo.moraes,22.0
3170,physicsaugustomontenegro,joane.aragao,106.0
3171,physicsaugustomontenegro,joao.alves,46.14
3172,physicsaugustomontenegro,joelson.oliveira,311.17
3173,physicsaugustomontenegro,jonasstanley,96.0
3174,physicsaugustomontenegro,jordama.tavares,23.14
3175,physicsaugustomontenegro,joseane.lopes,587.71
3176,physicsaugustomontenegro,josiane.dasilva,68.14
3177,physicsaugustomontenegro,julio.neto,41.8
3178,physicsaugustomontenegro,laira.barros,57.0
3179,physicsaugustomontenegro,leila.maia,20.0
3180,physicsaugustomontenegro,lidiane.alyne,118.71
3181,physicsaugustomontenegro,lorena.esteves,39.71
3182,physicsaugustomontenegro,luana.dacosta,32.57
3183,physicsaugustomontenegro,mario.pereira,13.43
3184,physicsaugustomontenegro,moises.almeida,10.5
3185,physicsaugustomontenegro,paulo.araujo,33.0
3186,physicsaugustomontenegro,rafael.alves,90.0
3187,physicsaugustomontenegro,sandro.santos,11.67
3188,physicsaugustomontenegro,shirley.medeiros,17.0
3189,physicsaugustomontenegro,silvane.almeida,127.14
3190,physicsaugustomontenegro,tainara.oliveira,116.62
3191,physicsaugustomontenegro,talita.dasilva,13.0
3192,physicsaugustomontenegro,thiago.dasilva,22.0
3193,physicsaugustomontenegro,virginia.lima,166.67
3194,physicsaugustomontenegro,wagner.ribeiro,33.83
3195,physicsaugustomontenegro,waldir.junior,12.5
3196,physicsbatistacampos,Ananda.paixao,146.67
3197,physicsbatistacampos,Jamile.brito,218.6
3198,physicsbatistacampos,Luana.almeida,237.29
3199,physicsbatistacampos,Rubervan.leite,21.33
3200,physicsbatistacampos,Thais.nunes,149.0
3201,physicsbatistacampos,adauto.junior,7.33
3202,physicsbatistacampos,alessandra.silva,4.33
3203,physicsbatistacampos,amanda.daniella,35.14
3204,physicsbatistacampos,ana.cardosos,43.43
3205,physicsbatistacampos,angela.cristina,170.57
3206,physicsbatistacampos,carlos.eduardo,45.71
3207,physicsbatistacampos,claudio.figueiredo,40.83
3208,physicsbatistacampos,cosma.vasconcelos,45.14
3209,physicsbatistacampos,diana.cruz,36.14
3210,physicsbatistacampos,elvis.souza,7.0
3211,physicsbatistacampos,fabiany.seabra,63.14
3212,physicsbatistacampos,fabio.costa,13.0
3213,physicsbatistacampos,fabio.dossantos,18.57
3214,physicsbatistacampos,giselle.portugal,16.57
3215,physicsbatistacampos,glads.silva,35.29
3216,physicsbatistacampos,gleice.machado,11.0
3217,physicsbatistacampos,jandira.estella,127.75
3218,physicsbatistacampos,janine.sousa,186.67
3219,physicsbatistacampos,joelson.oliveira,244.0
3220,physicsbatistacampos,jonasstanley,447.0
3221,physicsbatistacampos,jose.welligton,29.14
3222,physicsbatistacampos,joseane.lopes,338.57
3223,physicsbatistacampos,julio.pereira,12.4
3224,physicsbatistacampos,kellen.tatiane,27.4
3225,physicsbatistacampos,leandro.monteiro,21.86
3226,physicsbatistacampos,luciana.albuquerque,81.67
3227,physicsbatistacampos,lucimara.almeida,22.29
3228,physicsbatistacampos,manoela.cristina,4.0
3229,physicsbatistacampos,maraysa.ferreira,94.5
3230,physicsbatistacampos,marcio.santos,1.0
3231,physicsbatistacampos,maria.passos,60.43
3232,physicsbatistacampos,mario.pqueiroz,21.86
3233,physicsbatistacampos,mirlene.jose,116.57
3234,physicsbatistacampos,nelcy.santos,173.57
3235,physicsbatistacampos,paulo.freitas,11.17
3236,physicsbatistacampos,rogger.viana,18.5
3237,physicsbatistacampos,rosa.leopoldina,17.71
3238,physicsbatistacampos,sacha.santos,42.71
3239,physicsbatistacampos,sandro.jhordan,15.43
3240,physicsbatistacampos,tomas.cunha,320.0
3241,physicsbatistacampos,vanessa.albuquerque,133.43
3242,physicsbatistacampos,wagner.bensaba,6.83
3243,physicscidadenova,1993,4.0
3244,physicscidadenova,Elisandra.monteiro,155.0
3245,physicscidadenova,Elvis.airosa,13.0
3246,physicscidadenova,Gustavo.bicho,10.0
3247,physicscidadenova,alessandra.dasilva,4.0
3248,physicscidadenova,alexandre.salomao,95.67
3249,physicscidadenova,anderson.ferreira,19.0
3250,physicscidadenova,antonio.alan,27.0
3251,physicscidadenova,arlindo.rogerio,46.0
3252,physicscidadenova,arthur.ferreira,60.0
3253,physicscidadenova,bianca.contente,30.8
3254,physicscidadenova,caique.lisboa,18.14
3255,physicscidadenova,carlenys.lugo,152.67
3256,physicscidadenova,carlos.eduardo,30.57
3257,physicscidadenova,carolina.afonso,63.43
3258,physicscidadenova,cristina.barbosa,76.43
3259,physicscidadenova,danielle.saraiva,34.14
3260,physicscidadenova,denise.vieira,15.5
3261,physicscidadenova,diogo.leite,84.25
3262,physicscidadenova,eliane.cristina,16.71
3263,physicscidadenova,elmer.dealmeida,100.86
3264,physicscidadenova,erick.shcneider,23.6
3265,physicscidadenova,eurico.lucas,6.67
3266,physicscidadenova,fernanda.ferreira,20.29
3267,physicscidadenova,francisco.bruno,22.0
3268,physicscidadenova,isabela.socorro,52.71
3269,physicscidadenova,jeronimo.moraes,12.75
3270,physicscidadenova,joelson.oliveira,325.83
3271,physicscidadenova,joene.barros,169.29
3272,physicscidadenova,joseane.lopes,631.86
3273,physicscidadenova,keyssi.monteiro,26.0
3274,physicscidadenova,leila.maia,25.4
3275,physicscidadenova,leticia.monteiro,156.0
3276,physicscidadenova,lorena.esteves,41.71
3277,physicscidadenova,lucas.moreira,16.5
3278,physicscidadenova,mario.queiroz,32.14
3279,physicscidadenova,matriculadores.juliane.ramos,65.33
3280,physicscidadenova,mayara.cristiny,127.0
3281,physicscidadenova,mayara.miranda,158.14
3282,physicscidadenova,moises.silva,12.67
3283,physicscidadenova,patricia.smith,151.14
3284,physicscidadenova,paulo.araujo,50.0
3285,physicscidadenova,pauloarthur,135.33
3286,physicscidadenova,priscila.melo,142.57
3287,physicscidadenova,rafael.alves,186.0
3288,physicscidadenova,rafael.cunha,24.5
3289,physicscidadenova,roterdan.caniceiro,68.5
3290,physicscidadenova,rubervan.leite,28.0
3291,physicscidadenova,shirlene.pessoa,91.0
3292,physicscidadenova,shirley.medeiros,17.5
3293,physicscidadenova,sirlene.barros,291.33
3294,physicscidadenova,thompson.prado,37.4
3295,physicscidadenova,waldir.fernando,15.0
3296,physicscidadenova,wendel.costa,40.86
3297,physicsconselheirofurtado,Luciano.sampaio,15.33
3298,physicsconselheirofurtado,abner.souza,40.0
3299,physicsconselheirofurtado,aline.mendes,11.33
3300,physicsconselheirofurtado,arlindo.rogerio,58.0
3301,physicsconselheirofurtado,arthur.ferreira,40.0
3302,physicsconselheirofurtado,brenda.azevedo,130.0
3303,physicsconselheirofurtado,elmo.ricardo,52.0
3304,physicsconselheirofurtado,fabio.dsantos,15.0
3305,physicsconselheirofurtado,francisco.bruno,19.0
3306,physicsconselheirofurtado,joelson.oliveira,285.6
3307,physicsconselheirofurtado,jose.araken,11.5
3308,physicsconselheirofurtado,joseane.lopes,343.8
3309,physicsconselheirofurtado,marcelo.rocha,20.0
3310,physicsconselheirofurtado,marcos.andre,41.2
3311,physicsconselheirofurtado,paulo.franco,37.0
3312,physicsconselheirofurtado,rafaella.freitas,18.5
3313,physicsconselheirofurtado,roterdan.caniceiro,52.5
3314,physicsconselheirofurtado,sailon.serra,22.0
3315,physicsconselheirofurtado,tais.cneves,65.0
3316,physicsconselheirofurtado,tatiane.souza,212.6
3317,physicsconselheirofurtado,wagner.souto,88.75
3318,physicsconselheirofurtado,waldir.fernando,30.0
3319,physicsmacapa,adervane.lima,4.0
3320,physicsmacapa,adriano.ferreira,54.0
3321,physicsmacapa,adriano.tiago,56.57
3322,physicsmacapa,amauri.rodrigues,25.83
3323,physicsmacapa,ana.uchoa,14.5
3324,physicsmacapa,andrea.vieira,28.0
3325,physicsmacapa,bernadino.maia,26.0
3326,physicsmacapa,cassio.renato,6.0
3327,physicsmacapa,cidia.corte,37.33
3328,physicsmacapa,daniella.oliveira,115.0
3329,physicsmacapa,eder.souto,54.75
3330,physicsmacapa,edivander.pinheiro,3.0
3331,physicsmacapa,eladio.nascimento,43.14
3332,physicsmacapa,eli.moro,43.8
3333,physicsmacapa,emerson.barbosa,17.0
3334,physicsmacapa,fabio.monte,28.33
3335,physicsmacapa,felipe.viana,41.0
3336,physicsmacapa,jeane.pereira,50.0
3337,physicsmacapa,joelson.oliveira,321.5
3338,physicsmacapa,jonatas.fontoura,43.67
3339,physicsmacapa,jorian.relton,27.83
3340,physicsmacapa,jose.otavio,6.0
3341,physicsmacapa,joseane.lopes,545.43
3342,physicsmacapa,manoel.pilar,102.12
3343,physicsmacapa,matriculador.alessandra.oliveira,156.0
3344,physicsmacapa,rita.cassia,15.0
3345,physicsmacapa,valdelino.silva,33.67
3346,physicsmacapa,valeria.rosa,139.0
3347,physicsmacapa,walbi.pimentel,61.0
3348,physicsumarizal,1522608,528.0
3349,physicsumarizal,Ana.claudia,318.0
3350,physicsumarizal,Lais.amaral,89.33
3351,physicsumarizal,Luciana.brito,145.0
3352,physicsumarizal,Marcio.correa,18.71
3353,physicsumarizal,abner.souza,50.0
3354,physicsumarizal,adriane.assuncao,112.71
3355,physicsumarizal,alessandra.gomes,33.86
3356,physicsumarizal,anderson.andre,120.43
3357,physicsumarizal,andrea.azevedo,247.0
3358,physicsumarizal,antonio.rogrigo,55.71
3359,physicsumarizal,arlindo.rogerio,74.0
3360,physicsumarizal,cesar.augusto,56.5
3361,physicsumarizal,cesar.mnascimento,33.0
3362,physicsumarizal,davison.cesar,12.0
3363,physicsumarizal,diana.cruz,43.86
3364,physicsumarizal,erick.shcneider,49.2
3365,physicsumarizal,eurico.lucas,2.0
3366,physicsumarizal,evelyn.brito,187.71
3367,physicsumarizal,fabio.costa,8.5
3368,physicsumarizal,felipe.silva,25.5
3369,physicsumarizal,hugo.monteiro,24.4
3370,physicsumarizal,jeronimo.levi,6.67
3371,physicsumarizal,joao.lucas,67.67
3372,physicsumarizal,jocimar.albernaz,23.0
3373,physicsumarizal,joelson.oliveira,636.83
3374,physicsumarizal,jose.araken,16.0
3375,physicsumarizal,joseane.lopes,701.29
3376,physicsumarizal,julio.pereira,22.2
3377,physicsumarizal,karoline.rosa,105.43
3378,physicsumarizal,kellen.tatiane,10.33
3379,physicsumarizal,lorena.baia,220.0
3380,physicsumarizal,lucimara.melem,15.83
3381,physicsumarizal,manoela.cristina,21.0
3382,physicsumarizal,mario.queiroz,28.43
