,namespace,segmento,Media de Conteúdos estudados
162,duquecastilho,fundmental_um,3.0
163,eacorcovado,em,639.11
164,eacorcovado,fundamental_dois,428.25
165,eacorcovado,fundmental_um,385.67
166,eccos,em,6.0
167,eccos,fundamental_dois,715.92
168,eccos,fundmental_um,523.13
169,educamais,fundamental_dois,13.0
170,educamais,fundmental_um,8.0
171,einsteinassis,em,625.68
172,einsteinassis,fundamental_dois,692.81
173,einsteinassis,fundmental_um,10.0
174,eldapereira,fundmental_um,12.47
175,elitecuritiba,fundamental_dois,234.0
176,elitecuritibaemilianoperneta,em,428.21
177,elitecuritibaemilianoperneta,fundamental_dois,503.2
178,equipe,em,5.0
179,equipe,fundamental_dois,12.0
180,escolaceciliameireles,fundamental_dois,43.94
181,escolaceciliameireles,fundmental_um,22.46
182,escolaceciliameireles,infantil,6.5
183,escoladofuturo,fundamental_dois,5.0
184,escolajardimdasnacoes,fundamental_dois,9.0
185,escolamaster,em,13.27
186,escolavida,fundmental_um,1.86
187,forumcultural,fundamental_dois,10.0
188,franciscoperes,infantil,25.0
189,franciscopinto,fundamental_dois,6.8
190,francobrasileiro,em,95.36
191,fundacaobradesco,fundamental_dois,5.0
192,galois,fundamental_dois,12.0
193,guilhermefilho,fundamental_dois,2.14
194,guilhermefilho,fundmental_um,17.0
195,guilhermefilho,infantil,3.5
196,hamiltondarocha,fundamental_dois,53.96
197,idaam,em,3.49
198,idaam,fundamental_dois,1.39
199,idb,fundamental_dois,3.0
200,insa,em,449.05
201,institutoeurofarma,fundmental_um,34.0
202,institutokairos,fundmental_um,1.0
203,integra,em,1070.0
204,integra,fundamental_dois,857.71
205,integra,fundmental_um,968.34
206,integra,infantil,655.25
207,integradaeducativa,em,446.29
208,integradaeducativa,fundamental_dois,461.44
209,invictus,em,778.76
210,invictus,fundamental_dois,740.29
211,iracemarufino,infantil,5.35
212,isem,fundamental_dois,189.4
213,isem,fundmental_um,7.52
214,ismart,em,84.0
215,ismart,fundamental_dois,39.0
216,itamarati,fundamental_dois,300.68
217,itamarati,fundmental_um,148.35
218,itamarati,infantil,8.12
219,jardimsaopaulo,fundamental_dois,6.0
220,jeanpiaget,fundamental_dois,7.0
221,joaobelem,fundamental_dois,17.76
222,joaobelem,fundmental_um,14.89
223,joaorosa,fundamental_dois,10.28
224,joaosampaio,fundamental_dois,8.86
225,joaosampaio,fundmental_um,19.27
226,joaosampaio,infantil,6.0
227,josepinheiro,fundamental_dois,12.48
228,josesoares,fundmental_um,1.6
229,laboratoriosromildo,fundmental_um,2.0
230,liessin,fundamental_dois,55.52
231,liessinbarra,fundamental_dois,71.38
232,litteratus,em,5.07
233,litteratus,fundmental_um,7.53
234,luizgonzaga,fundmental_um,4.62
235,mariaeunice,fundmental_um,34.34
236,mariaeunice,infantil,1.0
237,marialaura,fundmental_um,19.7
238,marialaura,infantil,4.22
239,mariaolinda,infantil,13.33
240,mariliamattoso,em,158.65
241,mariliamattoso,fundamental_dois,270.92
