,namespace,"Média de exércicios selecionados, curados ou criados",Tempo economizado com correções automáticas (horas) 
183,monsenhorfrancisco,6.0,0.0
184,monsenhorgoncalo,9.6,0.0
185,motiva,4915.0,0.09
186,murilorocha,58.92,0.39
187,navegasas,26.67,0.02
188,novotempo,191.0,1.43
189,nucleocriativo,394.8,4.87
190,objetivolorena,327.77,20.98
191,objetivoteresina,4489.5,0.02
192,oficinadoestudante,100.7,11.13
193,overabelcabral,411.93,18.99
194,overjoaopessoa,255.26,5.66
195,overlimaesilva,352.33,4.01
196,overmarciliofurtado,344.92,13.82
197,overmossoro,259.08,8.74
198,overnascimentodecastro,238.2,2.85
199,overpontanegra,296.35,12.94
200,overzonanorte,342.25,13.8
201,palmares,4330.0,0.06
202,pauloviana,3.67,0.0
203,pedromurilo,1.0,0.0
204,pesenglish,5.0,0.11
205,physicsalcindocacela,340.52,14.87
206,physicsalmirantebarroso,414.06,83.37
207,physicsaugustomontenegro,380.53,65.49
208,physicsbatistacampos,438.66,74.66
209,physicscidadenova,435.13,91.0
210,physicsconselheirofurtado,290.45,18.23
211,physicsmacapa,413.07,30.42
212,physicsumarizal,607.7,67.67
213,pioxi,366.26,20.59
214,pioxiicolegio,141.0,3.09
215,plannetataboao,302.0,18.81
216,poliedro,357.4,1.48
217,portalsas,4538.0,0.01
218,portinari,225.76,23.02
219,porto,351.62,82.04
220,portoseguro,1668.4,0.15
221,prevest,15.12,0.0
222,primeirodemaio,56.06,5.01
223,primeiromundo,3.0,0.0
224,prismapatrocinio,373.77,23.96
225,profederal,461.5,13.83
226,provaspoliedro,367.32,16.51
227,psantagema,792.27,7.47
228,raimundoalves,2.0,0.0
229,redeapogeu,6758.5,0.0
230,riobrancocampinas,13.67,0.01
231,sagradafamilia,2294.88,6.7
232,santadoroteia,5542.0,5.82
233,santoagostinho,7000.5,0.02
234,santoagostinhomg,7.0,0.0
235,santoamerico,402.03,35.98
236,santoamericoteste,137.67,0.01
237,santoantonio,2054.5,0.04
238,saosebastiao,3.0,0.0
239,sas,3933.29,1.59
240,sasadapt,733.56,0.12
241,sasadaptem,1786.8,0.2
242,sasadaptfund,1479.25,0.04
243,saseducacao,4838.6,0.09
244,senhorbonfim,31.0,0.09
245,serios,5595.0,0.06
246,souhabilis,1256.88,11.25
247,spdacruz,564.72,17.86
248,stellamarisaguaverde,325.08,2.67
249,stellamarisjuveve,442.39,31.18
250,stellamarisxaxim,339.18,14.64
251,tialo,1.0,0.0
252,tiathais,2.67,0.01
253,tiquinhodegente,2.0,0.0
254,universitariolondrina,309.51,94.48
255,universobarcarena,403.5,18.21
256,valdemiracoelho,42.83,0.31
257,venceslauchaves,1.0,0.0
258,vicentecravo,19.0,0.04
259,villalobos,498.08,73.26
260,visaorecife,2015.0,0.01
261,zacariasliberato,6.0,0.0
262,zecarioca,12.0,0.01
263,cav,0.0,0.01
264,cermac,0.0,0.04
265,darwin,0.0,0.01
266,domus,0.0,0.46
267,escolainternacional,0.0,0.02
268,mastersolucoes,0.0,0.0
269,montessori,0.0,0.62
270,simbios,0.0,0.61
